id,model,year,transmission,mileage,fueltype,mpg,enginesize
2801, A4,2019,Semi-Auto,20300,Diesel,50.4,2
2802, A3,2017,Manual,12199,Diesel,67.3,2
2803, TT,2015,Semi-Auto,31086,Petrol,42.8,2
2804, A1,2017,Manual,24015,Petrol,58.9,1.4
2805, Q5,2016,Semi-Auto,37505,Diesel,47.1,2
2806, A5,2019,Automatic,12844,Diesel,48.7,2
2807, A3,2019,Semi-Auto,3653,Petrol,33.2,2
2808, A8,2020,Semi-Auto,1354,Diesel,39.2,3
2809, A5,2020,Semi-Auto,3532,Diesel,51.4,2
2810, Q2,2019,Semi-Auto,4757,Diesel,47.9,2
2811, A4,2019,Automatic,7396,Diesel,47.1,2
2812, Q2,2017,Semi-Auto,10894,Petrol,52.3,1.4
2813, Q8,2018,Semi-Auto,18782,Diesel,32.8,3
2814, Q3,2015,Semi-Auto,57800,Diesel,54.3,2
2815, A1,2017,Manual,14960,Petrol,57.6,1.4
2816, A5,2018,Semi-Auto,7479,Petrol,36.7,3
2817, Q2,2019,Manual,8752,Petrol,39.2,1.5
2818, A7,2019,Semi-Auto,13502,Diesel,47.1,2
2819, A5,2018,Semi-Auto,17929,Diesel,70.6,2
2820, A1,2017,Manual,13840,Petrol,67.3,1
2821, A1,2014,Manual,62871,Petrol,60.1,1.4
2822, Q3,2017,Semi-Auto,9997,Petrol,47.9,1.4
2823, Q3,2016,Manual,31516,Diesel,55.4,2
2824, Q3,2016,Semi-Auto,29777,Petrol,47.9,1.4
2825, Q2,2017,Semi-Auto,10000,Diesel,58.9,2
2826, A3,2017,Manual,12000,Petrol,58.9,1.4
2827, Q5,2018,Semi-Auto,23500,Petrol,34,3
2828, A3,2015,Manual,20346,Petrol,57.6,1.4
2829, Q3,2017,Semi-Auto,9347,Petrol,47.9,1.4
2830, RS4,2019,Semi-Auto,9000,Petrol,29.1,2.9
2831, A1,2016,Manual,15716,Petrol,57.6,1.4
2832, A5,2013,Manual,80931,Diesel,64.2,2
2833, A3,2015,Manual,26200,Diesel,68.9,2
2834, A1,2016,Manual,19749,Petrol,55.4,1.4
2835, Q5,2015,Semi-Auto,43979,Diesel,47.1,2
2836, A7,2016,Semi-Auto,40809,Diesel,61.4,3
2837, A4,2019,Manual,5790,Petrol,41.5,2
2838, Q3,2017,Manual,32500,Diesel,61.4,2
2839, Q3,2017,Manual,33600,Diesel,61.4,2
2840, A4,2018,Manual,15091,Petrol,52.3,1.4
2841, A4,2018,Semi-Auto,16600,Petrol,38.7,3
2842, Q7,2019,Semi-Auto,1980,Diesel,32.8,3
2843, A6,2019,Automatic,5500,Diesel,50.4,2
2844, Q7,2019,Semi-Auto,18200,Diesel,32.8,3
2845, Q3,2016,Semi-Auto,16021,Diesel,50.4,2
2846, Q3,2017,Manual,12891,Petrol,49.6,1.4
2847, Q3,2016,Manual,10146,Diesel,52.3,2
2848, A1,2013,Manual,81012,Diesel,68.9,2
2849, A3,2016,Manual,29203,Petrol,58.9,1.4
2850, A1,2016,Semi-Auto,19687,Petrol,70.6,1.4
2851, A4,2017,Manual,30000,Petrol,50.4,2
2852, A1,2016,Manual,7433,Petrol,40.4,2
2853, A6,2016,Semi-Auto,43151,Diesel,64.2,2
2854, A4,2016,Automatic,21132,Diesel,72.4,2
2855, A3,2015,Manual,20258,Diesel,83.1,1.6
2856, A1,2015,Manual,39854,Diesel,80.7,1.6
2857, A3,2015,Manual,25959,Diesel,70.6,1.6
2858, Q3,2015,Manual,30224,Diesel,60.1,2
2859, A4,2016,Manual,19912,Petrol,51.4,1.4
2860, A4,2019,Manual,6936,Petrol,39.2,2
2861, A3,2016,Semi-Auto,17157,Petrol,48.7,2
2862, Q8,2019,Automatic,4278,Diesel,33.6,3
2863, A1,2013,Semi-Auto,49447,Petrol,53.3,1.4
2864, A1,2016,Manual,25277,Petrol,55.4,1.4
2865, A6,2016,Manual,37848,Diesel,61.4,2
2866, A4,2017,Manual,11784,Diesel,74.3,2
2867, A3,2015,Semi-Auto,49487,Diesel,57.6,2
2868, A3,2014,Manual,25854,Petrol,57.6,1.2
2869, A3,2019,Semi-Auto,6806,Petrol,34.9,2
2870, A5,2019,Automatic,14,Diesel,70.6,2
2871, A4,2019,Manual,2416,Petrol,38.7,2
2872, A3,2019,Semi-Auto,16161,Diesel,52.3,1.6
2873, A4,2016,Semi-Auto,26301,Diesel,70.6,2
2874, Q2,2019,Semi-Auto,9256,Diesel,46.3,1.6
2875, Q7,2019,Semi-Auto,6000,Diesel,33.2,3
2876, A4,2015,Manual,50811,Diesel,67.3,2
2877, Q3,2016,Semi-Auto,31959,Diesel,50.4,2
2878, Q7,2013,Semi-Auto,56000,Diesel,38.2,3
2879, Q3,2013,Manual,70000,Diesel,54.3,2
2880, Q3,2016,Manual,12683,Petrol,51.4,1.4
2881, A6,2016,Manual,28197,Diesel,61.4,2
2882, Q2,2017,Manual,11340,Petrol,50.4,1.4
2883, A6,2015,Semi-Auto,57192,Diesel,55.4,3
2884, Q2,2017,Manual,6287,Petrol,55.4,1
2885, A3,2015,Manual,55200,Diesel,68.9,2
2886, A4,2016,Manual,28555,Diesel,70.6,2
2887, A1,2019,Semi-Auto,4150,Petrol,47.9,1
2888, A3,2018,Semi-Auto,22604,Petrol,56.5,1.5
2889, Q2,2017,Semi-Auto,22791,Petrol,52.3,1.4
2890, A3,2018,Semi-Auto,11532,Petrol,56.5,1.5
2891, A4,2018,Semi-Auto,18696,Petrol,50.4,1.4
2892, A4,2016,Manual,55000,Diesel,64.2,2
2893, A3,2015,Manual,25500,Diesel,68.9,2
2894, Q5,2015,Semi-Auto,56000,Diesel,47.1,2
2895, A1,2013,Manual,68000,Diesel,74.3,1.6
2896, A5,2016,Semi-Auto,28000,Diesel,58.9,2
2897, Q3,2017,Manual,20482,Diesel,62.8,2
2898, Q2,2017,Manual,36391,Petrol,50.4,1.4
2899, A8,2018,Semi-Auto,6173,Diesel,40.4,3
2900, Q2,2019,Semi-Auto,5713,Diesel,44.8,1.6
2901, Q2,2019,Semi-Auto,3356,Diesel,44.8,1.6
2902, A1,2015,Manual,34188,Petrol,55.4,1.4
2903, A4,2016,Semi-Auto,30294,Diesel,60.1,3
2904, A4,2016,Semi-Auto,36157,Diesel,72.4,2
2905, A3,2016,Semi-Auto,44601,Petrol,40.9,2
2906, Q5,2016,Semi-Auto,26832,Diesel,42.8,3
2907, Q5,2017,Manual,18926,Diesel,47.9,2
2908, A3,2019,Manual,4352,Diesel,51.4,1.6
2909, A6,2016,Semi-Auto,24831,Diesel,61.4,2
2910, Q8,2019,Semi-Auto,9089,Diesel,33.6,3
2911, Q3,2016,Manual,33112,Diesel,60.1,2
2912, A6,2016,Semi-Auto,66506,Diesel,43.5,3
2913, A1,2015,Manual,20828,Petrol,57.6,1.4
2914, A6,2017,Semi-Auto,27379,Diesel,45.6,3
2915, Q5,2014,Semi-Auto,43888,Diesel,44.1,3
2916, A3,2016,Semi-Auto,17868,Petrol,58.9,1.4
2917, A4,2015,Manual,69130,Diesel,74.3,2
2918, A3,2016,Semi-Auto,22499,Petrol,43.5,2
2919, A6,2016,Semi-Auto,11540,Diesel,61.4,2
2920, A4,2018,Manual,19677,Petrol,51.4,1.4
2921, A4,2017,Semi-Auto,25593,Diesel,67.3,2
2922, Q2,2017,Manual,15268,Petrol,52.3,1.4
2923, Q5,2016,Semi-Auto,44929,Diesel,47.1,2
2924, Q7,2019,Semi-Auto,14915,Diesel,32.8,3
2925, A5,2017,Semi-Auto,11070,Diesel,67.3,2
2926, A4,2017,Manual,38810,Diesel,67.3,2
2927, A4,2018,Semi-Auto,15475,Petrol,50.4,2
2928, Q3,2017,Semi-Auto,10504,Petrol,40.4,2
2929, A4,2016,Manual,35706,Petrol,49.6,2
2930, A1,2018,Semi-Auto,31846,Petrol,56.5,1.4
2931, A1,2019,Semi-Auto,6734,Petrol,40.4,2
2932, A6,2016,Semi-Auto,21699,Diesel,61.4,2
2933, Q3,2016,Manual,14779,Petrol,49.6,1.4
2934, Q3,2018,Semi-Auto,18865,Petrol,47.9,1.4
2935, TT,2016,Semi-Auto,19411,Petrol,43.5,2
2936, A3,2017,Semi-Auto,12272,Petrol,56.5,1.4
2937, A4,2016,Semi-Auto,51124,Diesel,72.4,2
2938, A1,2017,Manual,28691,Petrol,67.3,1
2939, A6,2017,Semi-Auto,28828,Diesel,64.2,2
2940, A3,2019,Semi-Auto,15425,Petrol,42.2,1.5
2941, A1,2016,Manual,18679,Petrol,57.6,1.4
2942, A4,2014,Manual,40276,Diesel,62.8,2
2943, Q5,2017,Semi-Auto,21634,Diesel,55.4,2
2944, A8,2019,Automatic,2117,Diesel,40.4,3
2945, A5,2019,Semi-Auto,9026,Petrol,40.4,2
2946, A1,2017,Manual,27079,Petrol,55.4,1.4
2947, A5,2020,Semi-Auto,2640,Petrol,37.7,2
2948, A3,2017,Manual,44180,Petrol,58.9,1.4
2949, Q2,2019,Automatic,5209,Petrol,42.8,1.5
2950, A5,2019,Automatic,8909,Diesel,44.8,2
2951, A6,2019,Automatic,5004,Petrol,34,2
2952, A6,2019,Automatic,3866,Diesel,39.2,3
2953, A5,2020,Semi-Auto,3092,Diesel,50.4,2
2954, Q3,2019,Semi-Auto,12186,Diesel,48.7,2
2955, A1,2017,Manual,46096,Petrol,67.3,1
2956, A5,2020,Semi-Auto,1703,Diesel,51.4,2
2957, Q5,2020,Semi-Auto,2240,Diesel,38.2,2
2958, A5,2020,Semi-Auto,1884,Diesel,50.4,2
2959, A1,2020,Semi-Auto,883,Petrol,44.1,1
2960, A4,2020,Semi-Auto,4250,Diesel,40.4,3
2961, A3,2019,Manual,10065,Petrol,47.1,1
2962, A5,2019,Semi-Auto,3145,Petrol,39.8,2
2963, Q2,2019,Manual,3653,Diesel,49.6,1.6
2964, A1,2019,Semi-Auto,3774,Petrol,40.9,2
2965, A4,2015,Semi-Auto,20385,Diesel,56.5,2
2966, A3,2016,Semi-Auto,52226,Petrol,60.1,1.4
2967, A5,2018,Semi-Auto,29683,Petrol,36.7,3
2968, A5,2013,Semi-Auto,75900,Diesel,58.9,2
2969, A5,2014,Semi-Auto,55800,Diesel,58.9,2
2970, A3,2014,Manual,24055,Diesel,68.9,2
2971, A3,2016,Manual,44077,Petrol,52.3,1.4
2972, TT,2016,Manual,22000,Diesel,62.8,2
2973, A1,2015,Manual,20518,Diesel,80.7,1.6
2974, A3,2019,Semi-Auto,9316,Petrol,38.2,2
2975, A4,2019,Automatic,7188,Petrol,38.2,2
2976, A4,2019,Semi-Auto,5956,Diesel,39.8,3
2977, A1,2019,Semi-Auto,6009,Petrol,40.9,2
2978, A5,2016,Manual,52405,Diesel,53.3,2
2979, Q5,2016,Manual,24490,Diesel,47.9,2
2980, Q3,2019,Manual,3125,Petrol,40.9,1.5
2981, A7,2015,Semi-Auto,44230,Diesel,52.3,3
2982, A3,2016,Manual,25556,Petrol,57.6,1.4
2983, Q2,2019,Manual,4383,Petrol,47.1,1
2984, Q3,2019,Manual,6389,Diesel,42.8,2
2985, A4,2019,Automatic,6146,Petrol,38.2,2
2986, TT,2015,Semi-Auto,12123,Petrol,44.8,2
2987, Q5,2019,Semi-Auto,5150,Diesel,38.2,2
2988, A1,2019,Semi-Auto,2536,Petrol,40.9,2
2989, A3,2019,Semi-Auto,4891,Diesel,51.4,2
2990, Q5,2019,Semi-Auto,5891,Diesel,39.2,2
2991, Q2,2019,Manual,5496,Diesel,46.3,1.6
2992, A1,2015,Manual,19516,Petrol,58.9,1.4
2993, Q3,2016,Semi-Auto,49237,Petrol,47.9,1.4
2994, A4,2016,Automatic,29273,Diesel,72.4,2
2995, A6,2016,Manual,38272,Diesel,64.2,2
2996, A3,2013,Manual,65140,Diesel,67.3,2
2997, TT,2017,Manual,18892,Petrol,46.3,2
2998, A3,2017,Semi-Auto,24260,Petrol,43.5,2
2999, Q2,2017,Manual,15888,Petrol,52.3,1.4
3000, Q7,2016,Semi-Auto,61411,Diesel,47.9,3
3001, RS5,2019,Automatic,9771,Petrol,29.7,2.9
3002, A5,2019,Automatic,8765,Petrol,37.7,2
3003, RS5,2019,Automatic,4009,Petrol,29.7,2.9
3004, A5,2017,Semi-Auto,13606,Diesel,61.4,3
3005, A1,2018,Manual,20280,Petrol,67.3,1
3006, Q2,2019,Semi-Auto,2869,Diesel,46.3,1.6
3007, A3,2019,Semi-Auto,7825,Petrol,34.9,2
3008, Q5,2019,Automatic,5456,Diesel,38.2,2
3009, Q5,2015,Automatic,46085,Diesel,42.2,3
3010, Q8,2019,Automatic,10521,Diesel,33.6,3
3011, Q7,2019,Automatic,8422,Diesel,33.2,3
3012, A1,2016,Manual,19135,Petrol,55.4,1.4
3013, A3,2020,Manual,1276,Diesel,52.3,1.6
3014, A4,2019,Automatic,6995,Diesel,44.1,2
3015, A4,2017,Manual,17503,Petrol,51.4,1.4
3016, Q3,2014,Manual,38322,Petrol,47.9,1.4
3017, A3,2020,Semi-Auto,3925,Petrol,44.1,1.5
3018, A4,2016,Manual,22478,Diesel,67.3,2
3019, Q7,2016,Semi-Auto,33481,Diesel,47.9,3
3020, TT,2018,Automatic,24891,Petrol,34.5,2.5
3021, A3,2016,Manual,14931,Diesel,70.6,1.6
3022, A1,2016,Manual,23448,Petrol,58.9,1.4
3023, Q3,2019,Semi-Auto,5263,Diesel,48.7,2
3024, A1,2014,Manual,40000,Petrol,53.3,1.4
3025, A1,2016,Semi-Auto,29782,Petrol,58.9,1.4
3026, Q5,2017,Semi-Auto,21876,Diesel,55.4,2
3027, Q3,2017,Semi-Auto,30194,Diesel,55.4,2
3028, A3,2017,Manual,16000,Petrol,40.4,2
3029, Q3,2013,Semi-Auto,52134,Diesel,47.9,2
3030, Q3,2017,Manual,35964,Petrol,49.6,1.4
3031, A3,2019,Automatic,2550,Diesel,54.3,1.6
3032, A4,2019,Semi-Auto,15803,Petrol,35.8,2
3033, Q2,2019,Manual,3184,Petrol,42.8,1.5
3034, Q3,2019,Automatic,3662,Petrol,37.2,1.5
3035, Q3,2015,Manual,38017,Diesel,49.6,2
3036, A3,2014,Semi-Auto,55364,Diesel,62.8,2
3037, Q5,2016,Semi-Auto,51756,Diesel,47.1,2
3038, A1,2018,Manual,10340,Petrol,55.4,1.4
3039, A5,2013,Manual,76026,Diesel,60.1,2
3040, A1,2015,Manual,21438,Petrol,52.3,1.4
3041, A6,2016,Semi-Auto,21155,Diesel,58.9,2
3042, Q7,2016,Automatic,60569,Diesel,47.9,3
3043, RS3,2015,Semi-Auto,35395,Petrol,34.9,2.5
3044, A3,2017,Semi-Auto,40054,Petrol,44.1,2
3045, Q3,2013,Semi-Auto,48627,Petrol,36.7,2
3046, A1,2014,Semi-Auto,32709,Petrol,47.9,1.4
3047, A1,2016,Semi-Auto,59302,Petrol,57.6,1.4
3048, A1,2016,Manual,18365,Petrol,56.5,1.4
3049, TT,2019,Semi-Auto,5003,Petrol,38.7,2
3050, A3,2017,Manual,37556,Petrol,40.4,2
3051, TT,2017,Manual,28411,Diesel,62.8,2
3052, Q2,2018,Manual,20313,Petrol,47.1,1
3053, A4,2016,Manual,24673,Diesel,72.4,2
3054, A1,2016,Manual,23416,Petrol,67.3,1
3055, A1,2017,Semi-Auto,34700,Petrol,58.9,1.4
3056, Q5,2018,Semi-Auto,23657,Petrol,40.4,2
3057, A7,2016,Semi-Auto,40484,Diesel,53.3,3
3058, A8,2015,Automatic,34899,Diesel,47.9,3
3059, A1,2016,Manual,17679,Diesel,76.3,1.6
3060, A1,2019,Automatic,3221,Petrol,47.1,1
3061, Q3,2019,Automatic,3628,Diesel,48.7,2
3062, A1,2017,Manual,23838,Petrol,56.5,1.4
3063, A4,2017,Semi-Auto,35712,Petrol,53.3,2
3064, A4,2018,Manual,13166,Petrol,52.3,1.4
3065, Q5,2016,Automatic,22049,Diesel,42.8,3
3066, Q3,2014,Manual,38240,Diesel,54.3,2
3067, Q3,2016,Manual,81386,Diesel,52.3,2
3068, Q5,2014,Automatic,95001,Diesel,41.5,3
3069, A1,2017,Semi-Auto,15712,Petrol,64.2,1
3070, A3,2018,Semi-Auto,60892,Petrol,56.5,1.5
3071, A4,2016,Manual,59691,Diesel,67.3,2
3072, A4,2013,Manual,82591,Diesel,61.4,2
3073, A3,2017,Manual,42753,Petrol,62.8,1
3074, A3,2016,Semi-Auto,24563,Diesel,61.4,2
3075, A4,2017,Automatic,34153,Petrol,44.1,2
3076, A7,2014,Automatic,61140,Diesel,47.9,3
3077, A7,2015,Automatic,17078,Diesel,52.3,3
3078, A8,2018,Semi-Auto,5538,Diesel,50.4,3
3079, Q2,2019,Semi-Auto,6033,Diesel,46.3,1.6
3080, Q5,2014,Semi-Auto,69798,Diesel,47.1,2
3081, A3,2019,Semi-Auto,3795,Diesel,52.3,1.6
3082, Q3,2019,Manual,4389,Petrol,40.9,1.5
3083, Q5,2019,Semi-Auto,3795,Petrol,33.2,2
3084, A1,2016,Manual,30000,Petrol,39.8,2
3085, Q7,2019,Automatic,6063,Diesel,32.8,3
3086, Q3,2017,Semi-Auto,15336,Diesel,51.4,2
3087, RS3,2016,Semi-Auto,16594,Petrol,34.9,2.5
3088, Q3,2019,Automatic,5364,Petrol,38.2,1.5
3089, A4,2017,Manual,18574,Petrol,51.4,1.4
3090, Q7,2016,Semi-Auto,47538,Diesel,47.9,3
3091, A7,2019,Semi-Auto,3130,Diesel,48.7,2
3092, A1,2017,Manual,39836,Diesel,72.4,1.6
3093, Q2,2019,Manual,3017,Diesel,46.3,1.6
3094, Q7,2014,Semi-Auto,43700,Diesel,38.2,3
3095, Q5,2015,Automatic,23530,Diesel,47.1,2
3096, A3,2017,Manual,6931,Diesel,65.7,2
3097, A6,2016,Semi-Auto,33931,Diesel,55.4,3
3098, A1,2019,Automatic,2801,Petrol,47.1,1
3099, A7,2017,Semi-Auto,49281,Diesel,54.3,3
3100, A1,2014,Semi-Auto,66883,Petrol,57.6,1.4
3101, Q5,2015,Manual,42940,Diesel,47.9,2
3102, Q7,2017,Semi-Auto,12751,Diesel,39.2,4
3103, A4,2019,Manual,6223,Petrol,38.7,2
3104, Q2,2019,Semi-Auto,22,Diesel,47.9,2
3105, A5,2014,Manual,76101,Diesel,64.2,2
3106, Q3,2016,Semi-Auto,48175,Petrol,47.9,1.4
3107, A3,2015,Semi-Auto,28294,Hybrid,188.3,1.4
3108, Q5,2020,Semi-Auto,4002,Diesel,38.2,2
3109, A3,2020,Manual,3662,Diesel,52.3,1.6
3110, A3,2016,Manual,24717,Diesel,68.9,1.6
3111, Q3,2016,Manual,21002,Diesel,49.6,2
3112, A1,2016,Manual,24154,Petrol,57.6,1.4
3113, A3,2016,Manual,74924,Diesel,67.3,2
3114, A4,2017,Semi-Auto,14700,Petrol,55.4,2
3115, A1,2015,Manual,54566,Diesel,80.7,1.6
3116, Q2,2019,Automatic,3951,Petrol,42.8,1.5
3117, Q3,2017,Manual,26479,Petrol,50.4,1.4
3118, Q3,2018,Manual,18280,Petrol,51.4,1.4
3119, Q3,2019,Semi-Auto,2401,Diesel,48.7,2
3120, Q7,2019,Automatic,8990,Diesel,32.8,3
3121, A3,2016,Semi-Auto,30522,Petrol,56.5,1.4
3122, A3,2019,Manual,7188,Diesel,51.4,1.6
3123, Q2,2019,Manual,1490,Diesel,49.6,1.6
3124, Q2,2019,Semi-Auto,5872,Petrol,33.2,2
3125, A6,2019,Automatic,5260,Diesel,36.2,3
3126, Q5,2019,Automatic,11113,Petrol,32.1,2
3127, Q7,2019,Automatic,10210,Diesel,33.2,3
3128, Q3,2019,Semi-Auto,6328,Diesel,48.7,2
3129, Q2,2019,Manual,10472,Petrol,44.1,1
3130, A3,2018,Manual,10980,Petrol,54.3,1.5
3131, Q3,2017,Manual,21849,Petrol,49.6,1.4
3132, Q3,2017,Manual,16949,Petrol,49.6,1.4
3133, A1,2016,Manual,21809,Petrol,67.3,1
3134, A3,2015,Manual,20411,Diesel,74.3,1.6
3135, A1,2016,Semi-Auto,22789,Petrol,58.9,1.4
3136, TT,2016,Manual,42611,Diesel,67.3,2
3137, A1,2017,Semi-Auto,7198,Petrol,64.2,1
3138, Q5,2017,Semi-Auto,18331,Petrol,40.4,2
3139, Q5,2017,Semi-Auto,17506,Petrol,40.4,2
3140, A5,2019,Automatic,6810,Petrol,40.4,2
3141, Q3,2017,Semi-Auto,19416,Petrol,47.9,1.4
3142, A6,2017,Semi-Auto,36000,Diesel,61.4,2
3143, Q2,2020,Manual,1276,Petrol,44.8,1.5
3144, Q5,2017,Semi-Auto,19533,Diesel,56.5,2
3145, A1,2016,Manual,34539,Diesel,76.3,1.6
3146, A6,2014,Semi-Auto,79965,Diesel,64.2,2
3147, A4,2020,Semi-Auto,22601,Petrol,39.2,2
3148, A1,2013,Manual,18894,Petrol,55.4,1.2
3149, A1,2016,Manual,31479,Petrol,57.6,1.4
3150, A1,2017,Manual,28200,Diesel,76.3,1.6
3151, Q5,2014,Semi-Auto,12318,Diesel,47.1,2
3152, A4,2019,Automatic,9643,Diesel,40.4,3
3153, A3,2019,Manual,3358,Diesel,55.4,2
3154, Q2,2018,Semi-Auto,29782,Petrol,52.3,1.4
3155, TT,2016,Semi-Auto,41088,Petrol,42.8,2
3156, A7,2017,Semi-Auto,14562,Diesel,52.3,3
3157, A1,2017,Manual,43521,Petrol,57.6,1.4
3158, A3,2020,Manual,2661,Diesel,54.3,1.6
3159, A5,2020,Semi-Auto,2998,Diesel,47.1,2
3160, Q3,2017,Semi-Auto,15920,Petrol,47.9,1.4
3161, Q3,2017,Semi-Auto,13750,Petrol,47.9,1.4
3162, A1,2016,Manual,36552,Petrol,67.3,1
3163, Q7,2018,Semi-Auto,31362,Diesel,37.2,4
3164, A3,2016,Semi-Auto,11881,Petrol,56.5,1.4
3165, A4,2014,Semi-Auto,49688,Petrol,33.6,3
3166, Q8,2019,Semi-Auto,9432,Diesel,33.6,3
3167, A1,2017,Manual,29491,Petrol,55.4,1.4
3168, Q2,2019,Manual,11785,Petrol,40.9,1.5
3169, Q5,2020,Semi-Auto,3116,Diesel,38.2,2
3170, A3,2018,Semi-Auto,19227,Petrol,43.5,2
3171, A3,2016,Manual,44658,Petrol,52.3,1.4
3172, A3,2019,Semi-Auto,8656,Petrol,34.9,2
3173, Q2,2019,Manual,5426,Diesel,49.6,1.6
3174, A5,2015,Semi-Auto,33920,Petrol,40.9,2
3175, A3,2017,Manual,45324,Petrol,60.1,1.4
3176, A3,2020,Manual,10,Petrol,43.5,1.5
3177, A5,2019,Semi-Auto,12513,Petrol,39.8,2
3178, Q3,2019,Automatic,9589,Petrol,32.1,2
3179, A6,2019,Semi-Auto,4508,Diesel,47.9,2
3180, A4,2019,Semi-Auto,10221,Petrol,38.2,2
3181, A5,2019,Manual,2364,Petrol,37.2,2
3182, Q7,2019,Semi-Auto,4566,Diesel,32.8,3
3183, Q3,2017,Semi-Auto,58021,Diesel,53.3,2
3184, A3,2019,Manual,11252,Diesel,51.4,1.6
3185, Q2,2019,Manual,4722,Diesel,49.6,1.6
3186, Q2,2019,Semi-Auto,3571,Diesel,47.9,1.6
3187, A5,2018,Semi-Auto,60130,Diesel,62.8,2
3188, A3,2015,Semi-Auto,48093,Diesel,72.4,1.6
3189, Q5,2018,Semi-Auto,19444,Petrol,34,3
3190, A1,2015,Manual,30042,Diesel,80.7,1.6
3191, Q5,2016,Manual,40895,Diesel,48.7,2
3192, Q2,2017,Manual,19210,Petrol,50.4,1.4
3193, Q3,2015,Manual,42971,Diesel,49.6,2
3194, A3,2016,Semi-Auto,21102,Petrol,58.9,1.4
3195, Q3,2017,Manual,36667,Diesel,56.5,2
3196, A1,2016,Semi-Auto,33435,Petrol,70.6,1.4
3197, Q5,2014,Automatic,72562,Diesel,41.5,3
3198, A1,2019,Semi-Auto,8534,Petrol,40.9,2
3199, A1,2016,Manual,29627,Petrol,55.4,1.4
3200, A1,2016,Manual,42011,Diesel,76.3,1.6
3201, A1,2017,Manual,25679,Petrol,55.4,1.4
3202, A3,2015,Manual,46901,Diesel,70.6,1.6
3203, A3,2016,Manual,24285,Diesel,70.6,2
3204, A3,2013,Semi-Auto,53364,Diesel,58.9,2
3205, Q3,2015,Manual,49600,Diesel,49.6,2
3206, Q5,2017,Semi-Auto,47228,Diesel,56.5,2
3207, A3,2017,Manual,43990,Petrol,60.1,1
3208, Q3,2018,Semi-Auto,9153,Petrol,45.6,1.4
3209, A1,2015,Manual,28771,Petrol,55.4,1.4
3210, Q3,2016,Semi-Auto,21410,Diesel,51.4,2
3211, A1,2016,Manual,35076,Diesel,76.3,1.6
3212, A6,2017,Semi-Auto,33000,Diesel,61.4,2
3213, A3,2014,Automatic,18258,Petrol,60.1,1.4
3214, Q3,2013,Manual,65542,Diesel,54.3,2
3215, A3,2017,Manual,8956,Petrol,60.1,1
3216, A1,2016,Manual,36843,Diesel,76.3,1.6
3217, A6,2013,Semi-Auto,67636,Diesel,42.2,3
3218, A4,2017,Semi-Auto,11627,Petrol,53.3,2
3219, TT,2017,Manual,40008,Diesel,60.1,2
3220, A3,2016,Manual,18432,Petrol,60.1,1.4
3221, A6,2015,Semi-Auto,82725,Diesel,54.3,3
3222, A1,2017,Manual,17233,Petrol,55.4,1.4
3223, Q2,2017,Manual,19210,Petrol,50.4,1.4
3224, A1,2015,Manual,52200,Petrol,57.6,1.4
3225, A4,2018,Manual,27150,Petrol,52.3,1.4
3226, A4,2016,Automatic,43309,Diesel,72.4,2
3227, RS3,2018,Automatic,24090,Petrol,34,2.5
3228, Q2,2019,Semi-Auto,19,Diesel,46.3,2
3229, A1,2017,Manual,16434,Petrol,70.6,1.4
3230, A5,2019,Semi-Auto,22,Petrol,40.4,2
3231, Q3,2017,Manual,32895,Petrol,51.4,1.4
3232, A3,2018,Manual,5208,Diesel,67.3,1.6
3233, A4,2019,Manual,6623,Petrol,38.7,2
3234, A4,2017,Manual,21668,Diesel,70.6,2
3235, Q3,2013,Automatic,43376,Diesel,47.9,2
3236, A1,2015,Manual,33769,Petrol,55.4,1.4
3237, A5,2017,Automatic,22491,Petrol,43.5,2
3238, Q7,2018,Automatic,16861,Diesel,47.9,3
3239, A4,2017,Manual,39000,Diesel,74.3,2
3240, A4,2017,Manual,28814,Diesel,74.3,2
3241, A6,2018,Semi-Auto,20136,Diesel,64.2,2
3242, A3,2016,Semi-Auto,32272,Petrol,40.4,2
3243, A1,2015,Manual,34190,Diesel,80.7,1.6
3244, A4,2016,Manual,27500,Diesel,70.6,2
3245, Q3,2017,Manual,37151,Petrol,51.4,1.4
3246, Q5,2016,Automatic,49450,Diesel,47.1,2
3247, A4,2017,Manual,35790,Diesel,67.3,2
3248, A4,2016,Semi-Auto,44603,Diesel,72.4,2
3249, A8,2018,Semi-Auto,10249,Diesel,50.4,3
3250, A1,2019,Manual,2117,Petrol,50.4,1
3251, A3,2016,Manual,38935,Petrol,60.1,1.4
3252, A1,2016,Manual,24918,Petrol,67.3,1
3253, A3,2018,Semi-Auto,10827,Petrol,56.5,1.5
3254, A5,2018,Semi-Auto,21237,Diesel,70.6,2
3255, A3,2019,Manual,6550,Diesel,52.3,1.6
3256, Q3,2016,Semi-Auto,31975,Diesel,50.4,2
3257, A4,2017,Manual,18135,Petrol,51.4,1.4
3258, Q2,2017,Manual,42594,Diesel,64.2,1.6
3259, Q3,2018,Manual,10429,Petrol,49.6,1.4
3260, A1,2016,Manual,19038,Petrol,67.3,1
3261, A4,2018,Manual,23765,Petrol,50.4,1.4
3262, Q3,2019,Semi-Auto,1980,Diesel,48.7,2
3263, Q2,2017,Manual,10683,Petrol,50.4,1.4
3264, A1,2013,Manual,44374,Diesel,74.3,1.6
3265, Q3,2017,Semi-Auto,23188,Diesel,53.3,2
3266, A3,2016,Semi-Auto,37709,Petrol,40.4,2
