"id","model","year","transmission","mileage","fueltype","price","tax","mpg","enginesize"
948, A5,2017,Manual,12313,Diesel,20995,30.0,64.2,2.0
949, Q5,2016,Semi-Auto,50961,Diesel,19498,205.0,47.1,2.0
950, A1,2016,Manual,24001,Petrol,11698,30.0,55.4,1.4
951, A3,2017,Semi-Auto,24519,Diesel,15998,150.0,70.6,1.6
952, A6,2017,Automatic,33856,Diesel,19940,145.0,56.5,2.0
953, A4,2016,Manual,29333,Petrol,13498,145.0,51.4,1.4
954, A1,2013,Semi-Auto,47565,Petrol,9998,125.0,53.3,1.4
955, Q5,2019,Semi-Auto,4770,Diesel,35995,145.0,38.2,2.0
956, Q3,2019,Automatic,1000,Diesel,36497,145.0,47.1,2.0
957, A6,2019,Semi-Auto,1000,Diesel,30864,145.0,47.9,2.0
958, Q3,2015,Manual,53124,Diesel,14498,145.0,55.4,2.0
959, Q2,2019,Semi-Auto,5662,Diesel,20498,145.0,47.9,1.6
960, Q3,2015,Semi-Auto,33845,Petrol,16498,145.0,47.9,1.4
961, Q3,2015,Semi-Auto,39876,Petrol,15498,200.0,42.8,2.0
962, A1,2015,Manual,49565,Petrol,9998,30.0,55.4,1.4
963, A1,2016,Manual,13501,Petrol,11798,0.0,67.3,1.0
964, A4,2019,Manual,5654,Petrol,22288,145.0,39.2,2.0
965, A6,2017,Semi-Auto,22350,Diesel,25000,145.0,54.3,2.0
966, A5,2019,Semi-Auto,3065,Petrol,28990,145.0,39.8,2.0
967, A4,2016,Manual,30498,Diesel,14998,0.0,74.3,2.0
968, Q5,2019,Semi-Auto,100,Petrol,31998,145.0,33.2,2.0
969, A6,2019,Automatic,1000,Diesel,30861,145.0,47.9,2.0
970, Q2,2019,Manual,15,Petrol,26508,145.0,40.9,1.5
971, A1,2019,Semi-Auto,1000,Petrol,26011,145.0,44.1,1.0
972, Q2,2019,Manual,1000,Petrol,28062,145.0,43.5,1.5
973, A6,2019,Automatic,1000,Diesel,32098,145.0,50.4,2.0
974, A8,2018,Automatic,7919,Diesel,39700,145.0,50.4,3.0
975, Q2,2018,Manual,8539,Diesel,18495,145.0,64.2,1.6
976, A3,2018,Manual,6940,Petrol,20888,145.0,54.3,1.5
977, A4,2019,Manual,1342,Petrol,22490,145.0,39.2,2.0
978, A1,2016,Manual,15734,Petrol,12950,0.0,67.3,1.0
979, A4,2019,Semi-Auto,6536,Diesel,41888,145.0,39.8,3.0
980, Q5,2020,Semi-Auto,2396,Diesel,58990,145.0,32.5,3.0
981, A6,2019,Semi-Auto,2021,Diesel,31288,145.0,47.9,2.0
982, Q3,2020,Semi-Auto,2553,Petrol,37888,145.0,30.7,2.0
983, Q3,2016,Semi-Auto,32971,Diesel,17498,145.0,51.4,2.0
984, Q2,2017,Manual,11133,Petrol,18498,145.0,52.3,1.4
985, A6,2016,Manual,33182,Diesel,17998,30.0,61.4,2.0
986, A4,2016,Manual,38231,Diesel,16498,30.0,64.2,2.0
987, A4,2017,Manual,21540,Petrol,18498,145.0,51.4,1.4
988, Q3,2015,Manual,14919,Diesel,19498,160.0,49.6,2.0
989, Q2,2019,Manual,9525,Petrol,22698,145.0,40.9,1.5
990, A3,2017,Semi-Auto,31317,Diesel,17998,125.0,57.6,2.0
991, Q2,2019,Manual,1000,Diesel,22495,145.0,49.6,1.6
992, A4,2019,Semi-Auto,2529,Diesel,33245,150.0,47.9,2.0
993, A4,2016,Manual,38405,Diesel,13998,0.0,74.3,2.0
994, A6,2015,Automatic,57916,Diesel,16998,30.0,61.4,2.0
995, A1,2015,Manual,50730,Petrol,11798,30.0,58.9,1.4
996, A3,2017,Manual,14488,Petrol,14995,150.0,60.1,1.4
997, Q2,2019,Semi-Auto,3049,Petrol,22995,150.0,43.5,1.5
998, A6,2019,Semi-Auto,7461,Diesel,45995,150.0,37.7,3.0
999, Q5,2017,Semi-Auto,37492,Petrol,33495,150.0,34.0,3.0
1000, A5,2018,Semi-Auto,36715,Petrol,19495,150.0,35.3,3.0
1001, TT,2017,Manual,14999,Petrol,18000,150.0,47.1,1.8
1002, A1,2018,Semi-Auto,10247,Petrol,15990,145.0,56.5,1.4
1003, TT,2016,Manual,9360,Petrol,17000,160.0,46.3,1.8
1004, Q3,2016,Manual,22543,Diesel,15496,30.0,61.4,2.0
1005, Q2,2019,Manual,1886,Petrol,23888,145.0,40.9,1.5
1006, A6,2016,Semi-Auto,13986,Diesel,20698,30.0,61.4,2.0
1007, Q3,2015,Manual,43458,Diesel,15998,145.0,52.3,2.0
1008, A3,2014,Semi-Auto,87151,Diesel,8698,30.0,62.8,2.0
1009, A3,2016,Manual,21468,Petrol,13698,20.0,60.1,1.0
1010, A3,2016,Manual,29298,Petrol,12498,20.0,60.1,1.0
1011, A3,2017,Semi-Auto,15180,Diesel,13698,20.0,72.4,1.6
1012, A3,2016,Manual,23933,Diesel,16998,20.0,65.7,2.0
1013, Q3,2019,Automatic,4432,Petrol,32500,145.0,31.4,2.0
1014, A4,2017,Manual,15097,Petrol,14495,150.0,53.3,1.4
1015, A1,2016,Manual,44575,Petrol,10995,30.0,55.4,1.4
1016, Q7,2019,Semi-Auto,8391,Diesel,40495,150.0,33.6,3.0
1017, A1,2016,Manual,33397,Petrol,11495,0.0,67.3,1.0
1018, A3,2016,Manual,46860,Diesel,13250,20.0,68.9,1.6
1019, A3,2019,Semi-Auto,12472,Petrol,22991,150.0,42.2,1.5
1020, A6,2016,Semi-Auto,35665,Diesel,18291,30.0,61.4,2.0
1021, A1,2017,Manual,36009,Petrol,12991,150.0,58.9,1.4
1022, Q2,2019,Manual,2891,Petrol,23496,145.0,43.5,1.0
1023, Q2,2019,Manual,3486,Petrol,21756,145.0,45.6,1.0
1024, A6,2019,Automatic,7098,Diesel,32996,145.0,39.8,3.0
1025, Q3,2020,Semi-Auto,4455,Petrol,33591,150.0,39.2,1.5
1026, Q2,2020,Semi-Auto,4455,Diesel,27591,150.0,44.8,2.0
1027, A3,2017,Semi-Auto,9009,Petrol,18991,30.0,56.5,1.4
1028, A5,2017,Semi-Auto,28618,Diesel,18998,30.0,67.3,2.0
1029, A5,2016,Manual,51089,Diesel,15698,125.0,58.9,2.0
1030, A3,2019,Automatic,4444,Petrol,24990,145.0,43.5,1.5
1031, A6,2019,Automatic,4432,Diesel,32000,145.0,47.9,2.0
1032, A1,2019,Manual,5432,Petrol,19751,145.0,47.9,1.0
1033, A4,2019,Automatic,5432,Diesel,27444,145.0,47.1,2.0
1034, A4,2019,Automatic,5432,Petrol,35888,145.0,36.2,2.0
1035, A3,2019,Manual,2578,Diesel,21996,145.0,51.4,1.6
1036, A1,2019,Manual,5432,Petrol,19990,145.0,47.9,1.0
1037, TT,2019,Semi-Auto,5154,Petrol,30766,145.0,37.2,2.0
1038, Q2,2019,Semi-Auto,8654,Petrol,23896,145.0,40.9,1.5
1039, A5,2017,Semi-Auto,22877,Petrol,20996,145.0,47.9,2.0
1040, Q2,2020,Semi-Auto,4433,Petrol,34251,150.0,32.5,2.0
1041, Q3,2020,Semi-Auto,4432,Petrol,31990,150.0,40.4,1.5
1042, A1,2020,Semi-Auto,5432,Petrol,25888,150.0,44.8,1.5
1043, A1,2016,Manual,37925,Petrol,11295,0.0,67.3,1.0
1044, A1,2016,Manual,20645,Petrol,12495,30.0,56.5,1.4
1045, Q5,2017,Semi-Auto,32821,Diesel,32995,235.0,42.2,3.0
1046, A5,2017,Automatic,31777,Diesel,21595,30.0,65.7,2.0
1047, A6,2019,Automatic,1282,Diesel,27795,145.0,47.9,2.0
1048, A6,2019,Automatic,4985,Diesel,29995,145.0,50.4,2.0
1049, Q3,2018,Semi-Auto,20555,Petrol,19991,145.0,47.9,1.4
1050, A1,2017,Manual,24001,Diesel,19991,145.0,76.3,1.6
1051, Q2,2020,Manual,4432,Petrol,25990,150.0,43.5,1.5
1052, A4,2019,Semi-Auto,5505,Diesel,43990,150.0,40.4,3.0
1053, A1,2020,Semi-Auto,5432,Petrol,25491,150.0,44.8,1.5
1054, TT,2020,Semi-Auto,2301,Petrol,29000,150.0,40.9,2.0
1055, Q2,2019,Manual,5249,Diesel,19751,145.0,49.6,1.6
1056, Q2,2019,Semi-Auto,2493,Diesel,23756,145.0,47.9,2.0
1057, Q2,2019,Manual,4691,Diesel,22444,145.0,47.9,1.6
1058, A3,2019,Semi-Auto,5432,Petrol,24990,145.0,44.1,1.5
1059, Q2,2019,Semi-Auto,4077,Petrol,26444,145.0,42.2,1.5
1060, Q2,2019,Manual,3786,Petrol,23751,145.0,43.5,1.5
1061, Q2,2019,Automatic,4444,Petrol,25888,145.0,42.2,1.5
1062, Q3,2019,Automatic,4432,Petrol,37888,145.0,30.7,2.0
1063, Q3,2019,Semi-Auto,4444,Petrol,35896,145.0,30.7,2.0
1064, A4,2019,Automatic,12335,Diesel,39996,145.0,40.4,3.0
1065, Q3,2017,Semi-Auto,18008,Petrol,22491,150.0,42.2,2.0
1066, A6,2019,Semi-Auto,5432,Petrol,38444,150.0,34.0,2.0
1067, Q8,2018,Semi-Auto,12332,Diesel,49991,150.0,33.6,3.0
1068, A4,2016,Manual,78269,Diesel,12498,0.0,74.3,2.0
1069, A5,2016,Manual,54770,Diesel,17698,145.0,56.5,2.0
1070, A5,2017,Manual,36396,Diesel,20498,145.0,65.7,2.0
1071, Q2,2017,Manual,16202,Petrol,17991,150.0,52.3,1.4
1072, Q7,2019,Semi-Auto,17003,Diesel,45251,150.0,32.8,3.0
1073, A5,2019,Semi-Auto,5432,Petrol,34444,150.0,36.7,2.0
1074, A1,2019,Semi-Auto,5432,Petrol,23444,145.0,44.8,1.0
1075, Q3,2019,Manual,1496,Diesel,26990,145.0,42.8,2.0
1076, A3,2015,Semi-Auto,23768,Diesel,16396,125.0,57.6,2.0
1077, A3,2019,Automatic,4444,Petrol,23888,145.0,44.1,1.5
1078, Q8,2019,Automatic,8787,Diesel,56996,145.0,32.8,3.0
1079, A5,2019,Automatic,5432,Diesel,32444,145.0,45.6,2.0
1080, Q3,2019,Automatic,4432,Petrol,32888,145.0,31.4,2.0
1081, A3,2019,Manual,4321,Petrol,23888,145.0,44.1,1.5
1082, Q3,2016,Semi-Auto,33072,Diesel,18946,160.0,50.4,2.0
1083, Q3,2017,Manual,27339,Petrol,16856,125.0,51.4,1.4
1084, A1,2018,Manual,18876,Petrol,12996,145.0,55.4,1.4
1085, A4,2016,Manual,25214,Diesel,15256,0.0,74.3,2.0
1086, Q2,2019,Semi-Auto,3402,Petrol,24496,145.0,40.9,1.5
1087, Q3,2017,Manual,23008,Diesel,18696,145.0,56.5,2.0
1088, A5,2016,Semi-Auto,34051,Diesel,21498,200.0,44.8,3.0
1089, Q3,2015,Semi-Auto,51336,Diesel,15998,160.0,50.4,2.0
1090, Q5,2013,Semi-Auto,48282,Diesel,21998,260.0,41.5,3.0
1091, A6,2015,Semi-Auto,44000,Diesel,18998,145.0,54.3,3.0
1092, A6,2018,Semi-Auto,8602,Diesel,28498,145.0,50.4,2.0
1093, A6,2015,Semi-Auto,74644,Diesel,12498,20.0,61.4,2.0
1094, A5,2016,Manual,49936,Diesel,17998,145.0,56.5,2.0
1095, A3,2016,Manual,30895,Petrol,14498,125.0,52.3,1.4
1096, A6,2016,Semi-Auto,63000,Diesel,15498,125.0,56.5,3.0
1097, A3,2020,Semi-Auto,4432,Petrol,34991,150.0,34.5,2.0
1098, A3,2019,Semi-Auto,5432,Diesel,17756,145.0,54.3,1.6
1099, Q2,2019,Manual,4538,Petrol,19991,145.0,47.1,1.0
1100, A3,2019,Manual,4567,Petrol,18696,145.0,44.8,1.5
1101, A3,2019,Semi-Auto,3434,Diesel,23256,145.0,51.4,2.0
1102, Q2,2019,Automatic,2197,Diesel,26888,145.0,47.9,2.0
1103, Q2,2019,Manual,985,Diesel,20251,145.0,49.6,1.6
1104, A4,2019,Automatic,6458,Diesel,27444,145.0,47.1,2.0
1105, Q5,2019,Automatic,6565,Hybrid,44990,135.0,117.7,2.0
1106, A1,2019,Manual,5432,Petrol,22444,145.0,47.9,1.0
1107, A1,2019,Manual,5432,Petrol,21251,145.0,47.9,1.0
1108, Q8,2020,Automatic,3522,Diesel,84496,145.0,30.7,4.0
1109, Q2,2020,Manual,4432,Petrol,24444,145.0,43.5,1.5
1110, Q5,2020,Semi-Auto,4433,Diesel,53990,145.0,34.5,3.0
1111, Q3,2020,Semi-Auto,4432,Petrol,32881,145.0,39.2,1.5
1112, A1,2020,Semi-Auto,5432,Petrol,25491,145.0,44.8,1.5
1113, A3,2020,Semi-Auto,4433,Petrol,35991,145.0,34.9,2.0
1114, A7,2019,Semi-Auto,2055,Diesel,49496,150.0,35.8,3.0
1115, A3,2016,Manual,24950,Petrol,16491,30.0,58.9,1.4
1116, A1,2015,Manual,28456,Petrol,12698,30.0,55.4,1.4
1117, Q5,2014,Semi-Auto,25242,Diesel,15998,200.0,47.1,2.0
1118, A4,2017,Semi-Auto,74796,Diesel,12998,20.0,72.4,2.0
1119, A4,2016,Manual,29398,Petrol,13698,145.0,51.4,1.4
1120, A3,2017,Semi-Auto,53283,Petrol,16998,30.0,56.5,1.4
1121, A6,2015,Semi-Auto,71030,Diesel,15998,30.0,64.2,2.0
1122, A5,2016,Manual,41727,Diesel,18998,160.0,53.3,2.0
1123, Q3,2014,Manual,26728,Diesel,15698,160.0,50.4,2.0
1124, Q2,2019,Manual,3358,Petrol,19991,145.0,47.1,1.0
1125, Q3,2020,Semi-Auto,4432,Petrol,32444,145.0,31.4,2.0
1126, Q5,2019,Automatic,4567,Diesel,35496,145.0,38.2,2.0
1127, Q5,2019,Automatic,4567,Diesel,31496,145.0,38.2,2.0
1128, A4,2017,Semi-Auto,21976,Petrol,24896,145.0,44.1,2.0
1129, Q3,2017,Manual,21201,Petrol,19596,145.0,49.6,1.4
1130, Q3,2019,Automatic,2590,Petrol,33888,145.0,31.4,2.0
1131, Q2,2019,Manual,4321,Petrol,23756,145.0,43.5,1.5
1132, Q3,2019,Semi-Auto,4444,Diesel,32500,145.0,38.7,2.0
1133, A4,2019,Automatic,5432,Diesel,25999,145.0,50.4,2.0
1134, Q3,2019,Automatic,4432,Petrol,32500,145.0,31.4,2.0
1135, Q5,2019,Semi-Auto,4433,Petrol,38000,145.0,32.1,2.0
1136, A4,2019,Automatic,3988,Diesel,46888,145.0,39.2,3.0
1137, A6,2019,Semi-Auto,3411,Diesel,29896,145.0,47.9,2.0
1138, Q2,2020,Manual,4432,Petrol,24444,145.0,43.5,1.5
1139, Q5,2020,Semi-Auto,4343,Petrol,37888,145.0,32.1,2.0
1140, Q3,2020,Semi-Auto,1445,Petrol,32444,145.0,31.4,2.0
1141, Q5,2016,Manual,33423,Diesel,20256,200.0,47.9,2.0
1142, A1,2016,Manual,15121,Petrol,12996,30.0,56.5,1.4
1143, A1,2016,Manual,25783,Petrol,10996,30.0,57.6,1.4
1144, Q3,2017,Manual,20355,Petrol,19656,145.0,49.6,1.4
1145, A5,2020,Semi-Auto,5432,Diesel,28991,145.0,51.4,2.0
1146, Q3,2020,Semi-Auto,4444,Petrol,33491,145.0,39.2,1.5
1147, Q3,2020,Semi-Auto,4432,Petrol,32881,145.0,39.2,1.5
1148, Q3,2020,Semi-Auto,4432,Petrol,33881,145.0,31.4,2.0
1149, A4,2020,Semi-Auto,4454,Petrol,30990,145.0,38.2,2.0
1150, Q2,2017,Automatic,35554,Diesel,16496,145.0,68.9,1.6
1151, Q2,2019,Manual,6190,Petrol,19991,145.0,47.1,1.0
1152, A4,2015,Manual,39652,Diesel,13351,0.0,74.3,2.0
1153, A1,2017,Manual,13253,Petrol,14491,150.0,55.4,1.4
1154, A3,2016,Manual,25556,Petrol,14991,20.0,60.1,1.4
1155, Q3,2019,Manual,1676,Petrol,29991,150.0,40.9,1.5
1156, Q3,2017,Manual,18909,Petrol,17991,150.0,51.4,1.4
1157, TT,2020,Semi-Auto,4433,Petrol,36991,150.0,35.3,2.0
1158, Q3,2020,Semi-Auto,4432,Petrol,33491,150.0,39.2,1.5
1159, A3,2016,Semi-Auto,36329,Petrol,11896,30.0,58.9,1.4
1160, A1,2017,Manual,24435,Petrol,12990,145.0,55.4,1.4
1161, Q2,2019,Semi-Auto,2243,Petrol,22896,145.0,40.9,1.5
1162, A1,2019,Automatic,4445,Petrol,18990,145.0,46.3,1.0
1163, Q3,2020,Semi-Auto,4432,Petrol,32444,145.0,31.4,2.0
1164, Q8,2019,Automatic,6878,Diesel,63796,145.0,32.8,3.0
1165, Q2,2019,Manual,4512,Petrol,24756,145.0,39.2,1.5
1166, Q5,2013,Manual,57387,Petrol,15896,235.0,37.7,2.0
1167, A3,2017,Manual,42779,Petrol,12500,145.0,62.8,1.0
1168, A4,2017,Manual,40583,Petrol,14650,145.0,51.4,1.4
1169, A6,2015,Semi-Auto,48175,Diesel,17996,125.0,57.6,3.0
1170, Q2,2019,Manual,5988,Diesel,18896,145.0,49.6,1.6
1171, Q3,2019,Semi-Auto,1500,Petrol,31996,145.0,31.4,2.0
1172, A4,2017,Manual,26455,Diesel,17591,30.0,67.3,2.0
1173, Q3,2015,Semi-Auto,24621,Diesel,18781,145.0,54.3,2.0
1174, A3,2019,Semi-Auto,15147,Petrol,20991,145.0,42.2,1.5
1175, A5,2019,Automatic,10897,Diesel,34256,145.0,47.9,2.0
1176, Q3,2019,Manual,4444,Petrol,30491,145.0,40.9,1.5
1177, RS4,2019,Semi-Auto,4761,Petrol,56991,145.0,29.1,2.9
1178, A1,2019,Manual,4321,Petrol,20444,145.0,47.9,1.0
1179, A1,2019,Manual,3863,Petrol,20444,145.0,47.9,1.0
1180, Q3,2019,Manual,6778,Diesel,27990,145.0,42.8,2.0
1181, Q2,2019,Manual,6155,Petrol,19991,145.0,47.1,1.0
1182, Q2,2019,Manual,6665,Petrol,19991,145.0,47.1,1.0
1183, A3,2016,Manual,14514,Petrol,17996,30.0,60.1,1.4
1184, Q3,2017,Semi-Auto,38150,Petrol,19956,200.0,42.2,2.0
1185, A3,2020,Semi-Auto,5432,Petrol,27881,145.0,44.1,1.5
1186, A1,2020,Semi-Auto,5432,Petrol,22990,145.0,44.8,1.5
1187, A6,2017,Semi-Auto,47112,Diesel,18296,145.0,64.2,2.0
1188, Q7,2019,Automatic,1968,Diesel,52496,145.0,33.2,3.0
1189, A1,2019,Manual,3632,Petrol,19751,145.0,47.9,1.0
1190, A4,2016,Semi-Auto,25540,Petrol,15556,30.0,55.4,2.0
1191, Q7,2016,Semi-Auto,44071,Diesel,42996,300.0,39.2,4.0
1192, A5,2019,Automatic,14713,Petrol,25419,145.0,39.8,2.0
1193, A4,2016,Manual,16666,Diesel,15596,0.0,74.3,2.0
1194, A3,2019,Semi-Auto,12914,Petrol,20996,145.0,42.2,1.5
1195, A4,2017,Automatic,11119,Petrol,29996,145.0,37.7,3.0
1196, A1,2019,Automatic,6327,Petrol,19996,145.0,47.1,1.0
1197, Q7,2018,Automatic,15524,Diesel,59996,145.0,37.2,4.0
1198, Q5,2019,Semi-Auto,8442,Diesel,34596,145.0,38.2,2.0
1199, Q5,2019,Semi-Auto,5446,Diesel,34596,145.0,38.2,2.0
1200, Q7,2016,Semi-Auto,36816,Diesel,29498,160.0,48.7,3.0
1201, Q5,2019,Automatic,2025,Petrol,32998,145.0,33.2,2.0
1202, Q5,2019,Semi-Auto,3540,Diesel,29996,145.0,39.2,2.0
1203, Q5,2019,Semi-Auto,4430,Diesel,34496,145.0,38.2,2.0
1204, A3,2019,Semi-Auto,2152,Diesel,21496,145.0,52.3,1.6
1205, A1,2019,Manual,3556,Petrol,19222,145.0,50.4,1.0
1206, A1,2015,Manual,18970,Petrol,11256,0.0,67.3,1.0
1207, A4,2019,Manual,21275,Petrol,19496,145.0,39.2,2.0
1208, Q2,2019,Manual,6971,Petrol,20996,145.0,44.1,1.0
1209, A8,2019,Semi-Auto,5904,Diesel,39496,145.0,50.4,3.0
1210, Q7,2016,Automatic,23478,Diesel,32996,200.0,47.9,3.0
1211, A5,2017,Automatic,19408,Diesel,23896,145.0,58.9,3.0
1212, RS5,2017,Automatic,8966,Petrol,43996,145.0,32.5,2.9
1213, A8,2018,Semi-Auto,10961,Diesel,36496,145.0,48.7,3.0
1214, Q7,2016,Automatic,33747,Diesel,30996,200.0,47.9,3.0
1215, A4,2019,Automatic,11001,Diesel,24946,145.0,47.1,2.0
1216, A1,2020,Manual,5566,Petrol,18496,145.0,48.7,1.0
1217, Q3,2016,Manual,7102,Petrol,17998,125.0,51.4,1.4
1218, Q7,2016,Semi-Auto,64668,Diesel,21998,165.0,48.7,3.0
1219, A1,2019,Manual,11058,Petrol,16996,145.0,51.4,1.0
1220, Q5,2019,Automatic,6260,Diesel,34496,145.0,38.2,2.0
1221, Q2,2019,Manual,6274,Diesel,18551,145.0,49.6,1.6
1222, Q3,2017,Manual,17856,Petrol,19496,145.0,49.6,1.4
1223, A3,2017,Manual,12222,Diesel,18896,125.0,57.6,2.0
1224, A1,2017,Manual,15020,Petrol,12756,0.0,67.3,1.0
1225, A3,2016,Manual,30692,Petrol,16498,30.0,60.1,1.4
1226, A5,2015,Semi-Auto,28094,Petrol,20998,260.0,36.7,3.0
1227, A6,2015,Semi-Auto,51405,Diesel,13498,20.0,67.3,2.0
1228, Q3,2015,Manual,76861,Diesel,13998,145.0,52.3,2.0
1229, A4,2017,Manual,57464,Diesel,13298,0.0,74.3,2.0
1230, Q5,2019,Semi-Auto,6836,Diesel,34991,145.0,38.2,2.0
1231, A5,2017,Semi-Auto,25954,Diesel,22698,145.0,62.8,2.0
1232, A5,2017,Semi-Auto,11757,Petrol,21998,145.0,53.3,2.0
1233, A3,2016,Semi-Auto,47322,Diesel,15498,30.0,61.4,2.0
1234, RS3,2016,Semi-Auto,50661,Petrol,24998,300.0,34.9,2.5
1235, Q3,2017,Manual,13403,Diesel,18998,150.0,56.5,2.0
1236, A3,2015,Semi-Auto,49393,Diesel,12298,30.0,62.8,2.0
1237, Q3,2016,Manual,19268,Diesel,17498,30.0,60.1,2.0
1238, Q3,2016,Manual,45876,Diesel,15998,30.0,60.1,2.0
1239, A1,2014,Manual,51451,Petrol,8298,125.0,52.3,1.4
1240, A1,2016,Semi-Auto,15434,Petrol,14998,30.0,70.6,1.4
1241, Q3,2016,Manual,67643,Diesel,12998,30.0,61.4,2.0
1242, A6,2014,Manual,69410,Diesel,13498,125.0,57.6,2.0
1243, A4,2019,Semi-Auto,18075,Petrol,18698,145.0,40.9,2.0
1244, Q5,2016,Semi-Auto,27848,Diesel,22498,200.0,47.1,2.0
1245, A6,2014,Manual,55368,Diesel,11498,125.0,57.6,2.0
1246, Q3,2017,Semi-Auto,53000,Diesel,17000,145.0,53.3,2.0
1247, A5,2016,Semi-Auto,49429,Diesel,16498,20.0,70.6,2.0
1248, Q2,2019,Manual,6378,Petrol,18998,145.0,47.1,1.0
1249, Q3,2014,Manual,33071,Petrol,12998,145.0,47.9,1.4
1250, A5,2016,Semi-Auto,42852,Diesel,14998,125.0,58.9,2.0
1251, Q5,2014,Manual,73874,Diesel,14498,200.0,47.9,2.0
1252, A6,2015,Manual,54847,Diesel,13998,30.0,64.2,2.0
1253, Q5,2019,Semi-Auto,31,Petrol,30998,145.0,33.2,2.0
1254, A3,2014,Manual,24175,Petrol,11995,20.0,60.1,1.4
1255, Q3,2015,Automatic,24539,Diesel,17398,160.0,51.4,2.0
1256, A5,2019,Semi-Auto,270,Petrol,26498,145.0,40.4,2.0
1257, A5,2015,Manual,48853,Diesel,15998,145.0,56.5,2.0
1258, A6,2014,Semi-Auto,75125,Diesel,16298,235.0,44.8,3.0
1259, A1,2014,Manual,48330,Petrol,8998,125.0,52.3,1.4
1260, A5,2017,Semi-Auto,17616,Diesel,22398,145.0,65.7,2.0
1261, Q3,2013,Manual,40252,Diesel,11798,160.0,50.4,2.0
1262, A1,2017,Manual,26791,Petrol,11295,145.0,67.3,1.0
1263, A4,2017,Manual,20399,Petrol,18698,145.0,51.4,1.4
1264, A4,2016,Semi-Auto,30374,Diesel,20698,145.0,56.5,2.0
1265, A3,2018,Semi-Auto,22721,Petrol,19998,145.0,56.5,1.5
1266, A4,2018,Manual,14203,Petrol,18498,145.0,52.3,1.4
1267, A5,2017,Semi-Auto,24020,Diesel,22498,145.0,70.6,2.0
1268, A3,2019,Semi-Auto,9758,Petrol,19998,150.0,44.8,1.0
1269, A4,2017,Manual,15893,Petrol,14498,145.0,51.4,1.4
1270, A7,2019,Semi-Auto,76,Diesel,35998,145.0,47.1,2.0
1271, RS6,2017,Semi-Auto,8546,Petrol,54998,145.0,29.4,4.0
1272, A1,2016,Manual,58952,Diesel,9619,0.0,76.3,1.6
1273, A3,2017,Manual,31412,Petrol,16991,125.0,49.6,2.0
1274, A1,2016,Manual,21686,Petrol,12991,30.0,55.4,1.4
1275, A3,2017,Manual,20359,Petrol,17498,30.0,60.1,1.4
1276, Q3,2015,Manual,20897,Diesel,17998,160.0,49.6,2.0
1277, A3,2016,Semi-Auto,18487,Diesel,17998,20.0,72.4,1.6
1278, A6,2016,Semi-Auto,14987,Diesel,22798,30.0,58.9,2.0
1279, Q3,2016,Manual,9481,Petrol,17998,125.0,51.4,1.4
1280, A4,2016,Manual,72981,Diesel,11698,0.0,74.3,2.0
1281, A3,2016,Manual,32923,Diesel,12998,20.0,72.4,1.6
1282, TT,2017,Semi-Auto,29109,Petrol,17998,160.0,43.5,2.0
1283, A3,2016,Manual,14115,Petrol,16698,30.0,58.9,1.4
1284, A6,2017,Semi-Auto,12806,Diesel,20498,145.0,64.2,2.0
1285, Q3,2015,Manual,21691,Petrol,15798,145.0,49.6,1.4
1286, Q3,2015,Manual,28136,Diesel,14998,145.0,56.5,2.0
1287, A4,2017,Manual,23905,Petrol,18698,145.0,51.4,1.4
1288, Q2,2018,Manual,16800,Petrol,18491,150.0,52.3,1.4
1289, A5,2014,Manual,48500,Diesel,12551,30.0,60.1,2.0
1290, A4,2016,Semi-Auto,23264,Diesel,17295,20.0,67.3,2.0
1291, Q3,2017,Manual,19078,Diesel,17530,30.0,61.4,2.0
1292, A3,2015,Semi-Auto,43131,Diesel,9270,20.0,72.4,1.6
1293, A1,2016,Manual,31913,Petrol,10510,0.0,67.3,1.0
1294, TT,2016,Manual,42553,Petrol,14053,145.0,47.1,1.8
1295, Q5,2015,Manual,34175,Diesel,18498,200.0,47.9,2.0
1296, Q3,2015,Manual,24861,Diesel,15698,125.0,60.1,2.0
1297, A5,2016,Semi-Auto,21480,Diesel,16498,125.0,58.9,2.0
1298, Q5,2019,Semi-Auto,50,Petrol,34698,145.0,32.1,2.0
1299, A5,2017,Semi-Auto,31354,Petrol,25498,145.0,38.2,3.0
1300, A1,2014,Manual,47000,Diesel,7956,0.0,74.3,1.6
1301, A6,2013,Semi-Auto,59811,Diesel,12998,150.0,56.5,2.0
1302, A3,2017,Manual,37882,Diesel,12498,0.0,74.3,1.6
1303, Q5,2015,Semi-Auto,56960,Diesel,22798,260.0,41.5,3.0
1304, Q2,2018,Manual,10581,Petrol,18351,145.0,52.3,1.4
1305, A4,2017,Manual,18737,Petrol,18298,145.0,51.4,1.4
1306, A5,2017,Manual,26369,Diesel,17298,145.0,68.9,2.0
1307, A5,2016,Manual,54000,Diesel,15995,145.0,54.3,2.0
1308, A5,2016,Automatic,41100,Diesel,15995,125.0,58.9,2.0
1309, TT,2015,Manual,32874,Diesel,14998,30.0,62.8,2.0
1310, A6,2016,Manual,97729,Diesel,13498,30.0,61.4,2.0
1311, TT,2016,Manual,22697,Diesel,16298,30.0,62.8,2.0
1312, A4,2013,Manual,78268,Diesel,8498,30.0,61.4,2.0
1313, A1,2017,Manual,30813,Petrol,10998,0.0,67.3,1.0
1314, A3,2015,Semi-Auto,33507,Diesel,13498,20.0,72.4,1.6
