id,model,year,transmission,mileage,fueltype,price,tax
2942, A4,2014,Manual,40276,Diesel,12470,30
2943, Q5,2017,Semi-Auto,21634,Diesel,24000,145
2944, A8,2019,Automatic,2117,Diesel,41606,145
2945, A5,2019,Semi-Auto,9026,Petrol,24260,145
2946, A1,2017,Manual,27079,Petrol,13982,30
2947, A5,2020,Semi-Auto,2640,Petrol,28990,145
2948, A3,2017,Manual,44180,Petrol,16991,30
2949, Q2,2019,Automatic,5209,Petrol,22276,145
2950, A5,2019,Automatic,8909,Diesel,33560,145
2951, A6,2019,Automatic,5004,Petrol,37800,145
2952, A6,2019,Automatic,3866,Diesel,32326,145
2953, A5,2020,Semi-Auto,3092,Diesel,31760,145
2954, Q3,2019,Semi-Auto,12186,Diesel,25946,145
2955, A1,2017,Manual,46096,Petrol,11771,145
2956, A5,2020,Semi-Auto,1703,Diesel,29490,145
2957, Q5,2020,Semi-Auto,2240,Diesel,38990,145
2958, A5,2020,Semi-Auto,1884,Diesel,32990,145
2959, A1,2020,Semi-Auto,883,Petrol,24990,145
2960, A4,2020,Semi-Auto,4250,Diesel,43990,145
2961, A3,2019,Manual,10065,Petrol,21656,145
2962, A5,2019,Semi-Auto,3145,Petrol,25490,145
2963, Q2,2019,Manual,3653,Diesel,21355,145
2964, A1,2019,Semi-Auto,3774,Petrol,22365,145
2965, A4,2015,Semi-Auto,20385,Diesel,15432,125
2966, A3,2016,Semi-Auto,52226,Petrol,12771,20
2967, A5,2018,Semi-Auto,29683,Petrol,28471,150
2968, A5,2013,Semi-Auto,75900,Diesel,9995,125
2969, A5,2014,Semi-Auto,55800,Diesel,14810,125
2970, A3,2014,Manual,24055,Diesel,10582,20
2971, A3,2016,Manual,44077,Petrol,13252,125
2972, TT,2016,Manual,22000,Diesel,16000,30
2973, A1,2015,Manual,20518,Diesel,11800,0
2974, A3,2019,Semi-Auto,9316,Petrol,26184,145
2975, A4,2019,Automatic,7188,Petrol,27640,145
2976, A4,2019,Semi-Auto,5956,Diesel,44300,145
2977, A1,2019,Semi-Auto,6009,Petrol,22165,145
2978, A5,2016,Manual,52405,Diesel,17322,160
2979, Q5,2016,Manual,24490,Diesel,20771,200
2980, Q3,2019,Manual,3125,Petrol,26676,145
2981, A7,2015,Semi-Auto,44230,Diesel,20981,160
2982, A3,2016,Manual,25556,Petrol,16492,30
2983, Q2,2019,Manual,4383,Petrol,19926,145
2984, Q3,2019,Manual,6389,Diesel,28770,145
2985, A4,2019,Automatic,6146,Petrol,28160,145
2986, TT,2015,Semi-Auto,12123,Petrol,16406,160
2987, Q5,2019,Semi-Auto,5150,Diesel,34376,145
2988, A1,2019,Semi-Auto,2536,Petrol,22476,145
2989, A3,2019,Semi-Auto,4891,Diesel,24695,145
2990, Q5,2019,Semi-Auto,5891,Diesel,32195,145
2991, Q2,2019,Manual,5496,Diesel,24526,145
2992, A1,2015,Manual,19516,Petrol,13942,30
2993, Q3,2016,Semi-Auto,49237,Petrol,16962,145
2994, A4,2016,Automatic,29273,Diesel,15082,0
2995, A6,2016,Manual,38272,Diesel,16402,30
2996, A3,2013,Manual,65140,Diesel,8971,20
2997, TT,2017,Manual,18892,Petrol,18781,150
2998, A3,2017,Semi-Auto,24260,Petrol,23671,150
2999, Q2,2017,Manual,15888,Petrol,18771,150
3000, Q7,2016,Semi-Auto,61411,Diesel,28371,205
3001, RS5,2019,Automatic,9771,Petrol,54883,145
3002, A5,2019,Automatic,8765,Petrol,28610,145
3003, RS5,2019,Automatic,4009,Petrol,55292,145
3004, A5,2017,Semi-Auto,13606,Diesel,22146,145
3005, A1,2018,Manual,20280,Petrol,14481,145
3006, Q2,2019,Semi-Auto,2869,Diesel,24164,145
3007, A3,2019,Semi-Auto,7825,Petrol,29256,145
3008, Q5,2019,Automatic,5456,Diesel,32956,145
3009, Q5,2015,Automatic,46085,Diesel,26276,235
3010, Q8,2019,Automatic,10521,Diesel,48642,145
3011, Q7,2019,Automatic,8422,Diesel,43475,145
3012, A1,2016,Manual,19135,Petrol,12672,30
3013, A3,2020,Manual,1276,Diesel,22777,145
3014, A4,2019,Automatic,6995,Diesel,36610,145
3015, A4,2017,Manual,17503,Petrol,18772,145
3016, Q3,2014,Manual,38322,Petrol,15322,145
3017, A3,2020,Semi-Auto,3925,Petrol,30777,145
3018, A4,2016,Manual,22478,Diesel,17702,30
3019, Q7,2016,Semi-Auto,33481,Diesel,31652,200
3020, TT,2018,Automatic,24891,Petrol,39076,145
3021, A3,2016,Manual,14931,Diesel,13862,20
3022, A1,2016,Manual,23448,Petrol,13432,30
3023, Q3,2019,Semi-Auto,5263,Diesel,27162,150
3024, A1,2014,Manual,40000,Petrol,8999,125
3025, A1,2016,Semi-Auto,29782,Petrol,14671,30
3026, Q5,2017,Semi-Auto,21876,Diesel,28062,150
3027, Q3,2017,Semi-Auto,30194,Diesel,19998,145
3028, A3,2017,Manual,16000,Petrol,22495,200
3029, Q3,2013,Semi-Auto,52134,Diesel,12495,200
3030, Q3,2017,Manual,35964,Petrol,17500,145
3031, A3,2019,Automatic,2550,Diesel,19196,145
3032, A4,2019,Semi-Auto,15803,Petrol,28620,145
3033, Q2,2019,Manual,3184,Petrol,20956,145
3034, Q3,2019,Automatic,3662,Petrol,34256,145
3035, Q3,2015,Manual,38017,Diesel,15990,165
3036, A3,2014,Semi-Auto,55364,Diesel,11941,30
3037, Q5,2016,Semi-Auto,51756,Diesel,18690,205
3038, A1,2018,Manual,10340,Petrol,16295,150
3039, A5,2013,Manual,76026,Diesel,10310,30
3040, A1,2015,Manual,21438,Petrol,10598,125
3041, A6,2016,Semi-Auto,21155,Diesel,20498,125
3042, Q7,2016,Automatic,60569,Diesel,27057,200
3043, RS3,2015,Semi-Auto,35395,Petrol,29250,300
3044, A3,2017,Semi-Auto,40054,Petrol,22490,145
3045, Q3,2013,Semi-Auto,48627,Petrol,14550,260
3046, A1,2014,Semi-Auto,32709,Petrol,10991,145
3047, A1,2016,Semi-Auto,59302,Petrol,10510,30
3048, A1,2016,Manual,18365,Petrol,14470,30
3049, TT,2019,Semi-Auto,5003,Petrol,26490,150
3050, A3,2017,Manual,37556,Petrol,18937,145
3051, TT,2017,Manual,28411,Diesel,16430,30
3052, Q2,2018,Manual,20313,Petrol,16990,145
3053, A4,2016,Manual,24673,Diesel,15270,20
3054, A1,2016,Manual,23416,Petrol,11120,0
3055, A1,2017,Semi-Auto,34700,Petrol,14391,150
3056, Q5,2018,Semi-Auto,23657,Petrol,29691,145
3057, A7,2016,Semi-Auto,40484,Diesel,21895,145
3058, A8,2015,Automatic,34899,Diesel,19100,200
3059, A1,2016,Manual,17679,Diesel,10990,0
3060, A1,2019,Automatic,3221,Petrol,20726,145
3061, Q3,2019,Automatic,3628,Diesel,26876,145
3062, A1,2017,Manual,23838,Petrol,13852,30
3063, A4,2017,Semi-Auto,35712,Petrol,18000,145
3064, A4,2018,Manual,13166,Petrol,17782,145
3065, Q5,2016,Automatic,22049,Diesel,26796,235
3066, Q3,2014,Manual,38240,Diesel,13549,145
3067, Q3,2016,Manual,81386,Diesel,13680,145
3068, Q5,2014,Automatic,95001,Diesel,18420,260
3069, A1,2017,Semi-Auto,15712,Petrol,13491,20
3070, A3,2018,Semi-Auto,60892,Petrol,16991,145
3071, A4,2016,Manual,59691,Diesel,13070,30
3072, A4,2013,Manual,82591,Diesel,9960,30
3073, A3,2017,Manual,42753,Petrol,11991,20
3074, A3,2016,Semi-Auto,24563,Diesel,16670,30
3075, A4,2017,Automatic,34153,Petrol,23836,160
3076, A7,2014,Automatic,61140,Diesel,14086,200
3077, A7,2015,Automatic,17078,Diesel,21836,160
3078, A8,2018,Semi-Auto,5538,Diesel,35866,145
3079, Q2,2019,Semi-Auto,6033,Diesel,22302,150
3080, Q5,2014,Semi-Auto,69798,Diesel,15490,200
3081, A3,2019,Semi-Auto,3795,Diesel,22383,145
3082, Q3,2019,Manual,4389,Petrol,26073,145
3083, Q5,2019,Semi-Auto,3795,Petrol,32243,145
3084, A1,2016,Manual,30000,Petrol,8695,240
3085, Q7,2019,Automatic,6063,Diesel,46426,145
3086, Q3,2017,Semi-Auto,15336,Diesel,25082,145
3087, RS3,2016,Semi-Auto,16594,Petrol,31072,300
3088, Q3,2019,Automatic,5364,Petrol,28396,145
3089, A4,2017,Manual,18574,Petrol,18182,145
3090, Q7,2016,Semi-Auto,47538,Diesel,31072,200
3091, A7,2019,Semi-Auto,3130,Diesel,31210,145
3092, A1,2017,Manual,39836,Diesel,13532,145
3093, Q2,2019,Manual,3017,Diesel,24440,145
3094, Q7,2014,Semi-Auto,43700,Diesel,25042,300
3095, Q5,2015,Automatic,23530,Diesel,20176,200
3096, A3,2017,Manual,6931,Diesel,19082,145
3097, A6,2016,Semi-Auto,33931,Diesel,20992,145
3098, A1,2019,Automatic,2801,Petrol,20766,145
3099, A7,2017,Semi-Auto,49281,Diesel,22895,150
3100, A1,2014,Semi-Auto,66883,Petrol,10595,30
3101, Q5,2015,Manual,42940,Diesel,17595,200
3102, Q7,2017,Semi-Auto,12751,Diesel,51595,145
3103, A4,2019,Manual,6223,Petrol,24798,145
3104, Q2,2019,Semi-Auto,22,Diesel,23998,145
3105, A5,2014,Manual,76101,Diesel,9980,30
3106, Q3,2016,Semi-Auto,48175,Petrol,16637,145
3107, A3,2015,Semi-Auto,28294,Hybrid,14981,0
3108, Q5,2020,Semi-Auto,4002,Diesel,37981,145
3109, A3,2020,Manual,3662,Diesel,20481,145
3110, A3,2016,Manual,24717,Diesel,16582,20
3111, Q3,2016,Manual,21002,Diesel,17584,160
3112, A1,2016,Manual,24154,Petrol,11602,30
3113, A3,2016,Manual,74924,Diesel,10500,30
3114, A4,2017,Semi-Auto,14700,Petrol,16499,30
3115, A1,2015,Manual,54566,Diesel,9000,0
3116, Q2,2019,Automatic,3951,Petrol,22976,145
3117, Q3,2017,Manual,26479,Petrol,16362,125
3118, Q3,2018,Manual,18280,Petrol,18981,145
3119, Q3,2019,Semi-Auto,2401,Diesel,27236,145
3120, Q7,2019,Automatic,8990,Diesel,47916,145
3121, A3,2016,Semi-Auto,30522,Petrol,17481,30
3122, A3,2019,Manual,7188,Diesel,21374,145
3123, Q2,2019,Manual,1490,Diesel,21726,145
3124, Q2,2019,Semi-Auto,5872,Petrol,27870,145
3125, A6,2019,Automatic,5260,Diesel,45912,145
3126, Q5,2019,Automatic,11113,Petrol,33630,145
3127, Q7,2019,Automatic,10210,Diesel,43244,145
3128, Q3,2019,Semi-Auto,6328,Diesel,26925,145
3129, Q2,2019,Manual,10472,Petrol,21226,145
3130, A3,2018,Manual,10980,Petrol,20442,145
3131, Q3,2017,Manual,21849,Petrol,18000,145
3132, Q3,2017,Manual,16949,Petrol,18500,145
3133, A1,2016,Manual,21809,Petrol,10691,0
3134, A3,2015,Manual,20411,Diesel,12995,0
3135, A1,2016,Semi-Auto,22789,Petrol,14995,30
3136, TT,2016,Manual,42611,Diesel,16495,20
3137, A1,2017,Semi-Auto,7198,Petrol,14495,150
3138, Q5,2017,Semi-Auto,18331,Petrol,30981,145
3139, Q5,2017,Semi-Auto,17506,Petrol,31252,145
3140, A5,2019,Automatic,6810,Petrol,24590,145
3141, Q3,2017,Semi-Auto,19416,Petrol,19242,145
3142, A6,2017,Semi-Auto,36000,Diesel,20481,30
3143, Q2,2020,Manual,1276,Petrol,23481,145
3144, Q5,2017,Semi-Auto,19533,Diesel,24997,145
3145, A1,2016,Manual,34539,Diesel,11950,0
3146, A6,2014,Semi-Auto,79965,Diesel,13541,30
3147, A4,2020,Semi-Auto,22601,Petrol,32481,145
3148, A1,2013,Manual,18894,Petrol,9481,30
3149, A1,2016,Manual,31479,Petrol,11392,30
3150, A1,2017,Manual,28200,Diesel,12100,0
3151, Q5,2014,Semi-Auto,12318,Diesel,21572,200
3152, A4,2019,Automatic,9643,Diesel,40970,145
3153, A3,2019,Manual,3358,Diesel,21981,145
3154, Q2,2018,Semi-Auto,29782,Petrol,21332,145
3155, TT,2016,Semi-Auto,41088,Petrol,19412,200
3156, A7,2017,Semi-Auto,14562,Diesel,26102,145
3157, A1,2017,Manual,43521,Petrol,10972,30
3158, A3,2020,Manual,2661,Diesel,20481,145
3159, A5,2020,Semi-Auto,2998,Diesel,32981,145
3160, Q3,2017,Semi-Auto,15920,Petrol,20972,145
3161, Q3,2017,Semi-Auto,13750,Petrol,21481,145
3162, A1,2016,Manual,36552,Petrol,11232,0
3163, Q7,2018,Semi-Auto,31362,Diesel,64842,145
3164, A3,2016,Semi-Auto,11881,Petrol,20112,30
3165, A4,2014,Semi-Auto,49688,Petrol,20452,300
3166, Q8,2019,Semi-Auto,9432,Diesel,53981,145
3167, A1,2017,Manual,29491,Petrol,13295,145
3168, Q2,2019,Manual,11785,Petrol,21892,150
3169, Q5,2020,Semi-Auto,3116,Diesel,37682,150
3170, A3,2018,Semi-Auto,19227,Petrol,28452,145
3171, A3,2016,Manual,44658,Petrol,14032,125
3172, A3,2019,Semi-Auto,8656,Petrol,32182,145
3173, Q2,2019,Manual,5426,Diesel,21162,145
3174, A5,2015,Semi-Auto,33920,Petrol,17950,205
3175, A3,2017,Manual,45324,Petrol,15395,30
3176, A3,2020,Manual,10,Petrol,23500,145
3177, A5,2019,Semi-Auto,12513,Petrol,26156,145
3178, Q3,2019,Automatic,9589,Petrol,31516,145
3179, A6,2019,Semi-Auto,4508,Diesel,31156,145
3180, A4,2019,Semi-Auto,10221,Petrol,25986,145
3181, A5,2019,Manual,2364,Petrol,30576,145
3182, Q7,2019,Semi-Auto,4566,Diesel,46456,145
3183, Q3,2017,Semi-Auto,58021,Diesel,19712,145
3184, A3,2019,Manual,11252,Diesel,22262,145
3185, Q2,2019,Manual,4722,Diesel,21392,145
3186, Q2,2019,Semi-Auto,3571,Diesel,21902,145
3187, A5,2018,Semi-Auto,60130,Diesel,22318,145
3188, A3,2015,Semi-Auto,48093,Diesel,11322,20
3189, Q5,2018,Semi-Auto,19444,Petrol,40892,145
3190, A1,2015,Manual,30042,Diesel,10330,0
3191, Q5,2016,Manual,40895,Diesel,17497,200
3192, Q2,2017,Manual,19210,Petrol,18495,125
3193, Q3,2015,Manual,42971,Diesel,15250,160
3194, A3,2016,Semi-Auto,21102,Petrol,18000,30
3195, Q3,2017,Manual,36667,Diesel,18000,150
3196, A1,2016,Semi-Auto,33435,Petrol,15000,30
3197, Q5,2014,Automatic,72562,Diesel,18990,260
3198, A1,2019,Semi-Auto,8534,Petrol,21686,145
3199, A1,2016,Manual,29627,Petrol,12977,30
3200, A1,2016,Manual,42011,Diesel,9995,0
3201, A1,2017,Manual,25679,Petrol,12000,30
3202, A3,2015,Manual,46901,Diesel,9999,20
3203, A3,2016,Manual,24285,Diesel,12699,20
3204, A3,2013,Semi-Auto,53364,Diesel,11999,125
3205, Q3,2015,Manual,49600,Diesel,12799,160
3206, Q5,2017,Semi-Auto,47228,Diesel,23500,150
3207, A3,2017,Manual,43990,Petrol,14000,20
3208, Q3,2018,Semi-Auto,9153,Petrol,24000,145
3209, A1,2015,Manual,28771,Petrol,12000,30
3210, Q3,2016,Semi-Auto,21410,Diesel,19000,145
3211, A1,2016,Manual,35076,Diesel,9995,0
3212, A6,2017,Semi-Auto,33000,Diesel,20875,150
3213, A3,2014,Automatic,18258,Petrol,13950,20
3214, Q3,2013,Manual,65542,Diesel,10950,145
3215, A3,2017,Manual,8956,Petrol,14517,150
3216, A1,2016,Manual,36843,Diesel,10020,0
3217, A6,2013,Semi-Auto,67636,Diesel,15290,260
3218, A4,2017,Semi-Auto,11627,Petrol,18998,30
3219, TT,2017,Manual,40008,Diesel,16998,125
3220, A3,2016,Manual,18432,Petrol,17498,30
3221, A6,2015,Semi-Auto,82725,Diesel,18498,145
3222, A1,2017,Manual,17233,Petrol,12495,30
3223, Q2,2017,Manual,19210,Petrol,18495,125
3224, A1,2015,Manual,52200,Petrol,9397,30
3225, A4,2018,Manual,27150,Petrol,18499,145
3226, A4,2016,Automatic,43309,Diesel,15499,0
3227, RS3,2018,Automatic,24090,Petrol,34491,145
3228, Q2,2019,Semi-Auto,19,Diesel,26998,150
3229, A1,2017,Manual,16434,Petrol,15698,145
3230, A5,2019,Semi-Auto,22,Petrol,27298,145
3231, Q3,2017,Manual,32895,Petrol,16505,125
3232, A3,2018,Manual,5208,Diesel,18505,145
3233, A4,2019,Manual,6623,Petrol,23755,145
3234, A4,2017,Manual,21668,Diesel,19299,145
3235, Q3,2013,Automatic,43376,Diesel,13499,200
3236, A1,2015,Manual,33769,Petrol,13499,30
3237, A5,2017,Automatic,22491,Petrol,22711,145
3238, Q7,2018,Automatic,16861,Diesel,39999,145
3239, A4,2017,Manual,39000,Diesel,16499,145
3240, A4,2017,Manual,28814,Diesel,17499,145
3241, A6,2018,Semi-Auto,20136,Diesel,19995,150
3242, A3,2016,Semi-Auto,32272,Petrol,21483,200
3243, A1,2015,Manual,34190,Diesel,10495,0
3244, A4,2016,Manual,27500,Diesel,17295,20
3245, Q3,2017,Manual,37151,Petrol,15998,145
3246, Q5,2016,Automatic,49450,Diesel,18450,200
3247, A4,2017,Manual,35790,Diesel,17190,30
3248, A4,2016,Semi-Auto,44603,Diesel,14998,0
3249, A8,2018,Semi-Auto,10249,Diesel,33998,145
3250, A1,2019,Manual,2117,Petrol,19998,145
3251, A3,2016,Manual,38935,Petrol,13500,20
3252, A1,2016,Manual,24918,Petrol,11995,0
3253, A3,2018,Semi-Auto,10827,Petrol,21498,145
3254, A5,2018,Semi-Auto,21237,Diesel,24698,150
3255, A3,2019,Manual,6550,Diesel,22005,145
3256, Q3,2016,Semi-Auto,31975,Diesel,18505,160
3257, A4,2017,Manual,18135,Petrol,18505,145
3258, Q2,2017,Manual,42594,Diesel,15255,30
3259, Q3,2018,Manual,10429,Petrol,21755,145
3260, A1,2016,Manual,19038,Petrol,12505,0
3261, A4,2018,Manual,23765,Petrol,17505,145
3262, Q3,2019,Semi-Auto,1980,Diesel,27001,145
3263, Q2,2017,Manual,10683,Petrol,20505,145
3264, A1,2013,Manual,44374,Diesel,9755,0
3265, Q3,2017,Semi-Auto,23188,Diesel,23252,145
3266, A3,2016,Semi-Auto,37709,Petrol,23232,200
3267, A3,2017,Semi-Auto,28498,Petrol,21602,145
3268, A4,2016,Semi-Auto,53339,Diesel,17862,30
3269, TT,2016,Manual,18759,Petrol,18272,160
3270, A6,2013,Manual,57062,Diesel,10962,125
3271, A1,2016,Manual,19360,Diesel,10790,0
3272, A4,2017,Manual,36008,Diesel,16745,150
3273, A3,2017,Manual,39992,Petrol,15982,145
3274, Q3,2016,Semi-Auto,19681,Diesel,18991,145
3275, A3,2017,Manual,11836,Petrol,13999,20
3276, A1,2019,Semi-Auto,7650,Petrol,19750,145
3277, TT,2016,Manual,33000,Petrol,16495,165
3278, A3,2019,Semi-Auto,5051,Diesel,24662,145
3279, Q3,2019,Semi-Auto,7728,Diesel,34922,145
3280, A1,2017,Manual,7541,Petrol,12372,0
3281, Q3,2019,Semi-Auto,4300,Diesel,29532,145
3282, A3,2017,Manual,26111,Petrol,17255,30
3283, Q5,2018,Semi-Auto,17640,Petrol,27005,145
3284, Q2,2018,Semi-Auto,5485,Diesel,21755,145
3285, Q3,2019,Semi-Auto,6793,Petrol,35505,145
3286, A6,2017,Semi-Auto,31605,Diesel,19655,145
3287, A1,2018,Manual,26211,Petrol,19755,145
3288, A3,2016,Manual,21540,Petrol,16755,30
3289, A3,2019,Semi-Auto,17467,Petrol,22005,145
3290, A3,2016,Semi-Auto,48782,Diesel,13005,20
3291, Q3,2018,Manual,9707,Petrol,20001,145
3292, A1,2019,Manual,4379,Petrol,19752,145
3293, Q3,2017,Semi-Auto,3827,Petrol,25755,145
3294, A4,2017,Semi-Auto,11000,Petrol,17755,150
3295, A5,2013,Semi-Auto,80248,Diesel,9730,125
3296, A6,2014,Semi-Auto,64458,Diesel,10100,30
3297, A4,2015,Manual,73946,Diesel,10999,20
3298, Q5,2020,Semi-Auto,1000,Diesel,39000,150
3299, Q5,2020,Semi-Auto,5000,Diesel,62000,150
3300, A5,2020,Semi-Auto,2000,Diesel,31000,150
3301, Q2,2019,Manual,2933,Diesel,21032,145
3302, Q2,2019,Manual,1782,Diesel,21032,150
3303, A3,2019,Manual,4962,Diesel,22792,150
3304, Q3,2019,Manual,8050,Petrol,26022,150
3305, A7,2020,Semi-Auto,1200,Diesel,38990,150
3306, A1,2016,Manual,50000,Petrol,9912,0
3307, A4,2019,Automatic,100,Diesel,32750,145
3308, A4,2019,Manual,4500,Petrol,28250,145
3309, Q3,2019,Automatic,5007,Diesel,30500,145
3310, A4,2019,Manual,3378,Petrol,29300,145
3311, A4,2020,Semi-Auto,3000,Petrol,32000,150
3312, Q5,2020,Semi-Auto,2000,Diesel,42500,145
3313, Q2,2019,Manual,1500,Diesel,23900,145
3314, A3,2019,Manual,100,Diesel,24000,145
3315, A3,2019,Manual,1500,Diesel,22650,145
3316, A3,2019,Manual,5780,Diesel,20750,145
3317, Q3,2016,Manual,22406,Diesel,18502,145
3318, Q7,2019,Semi-Auto,6600,Diesel,48255,145
3319, A6,2016,Manual,26476,Diesel,15255,30
3320, Q8,2019,Automatic,3000,Diesel,58500,145
3321, A5,2019,Automatic,100,Diesel,29000,145
3322, Q5,2019,Automatic,100,Diesel,35500,145
3323, A5,2018,Automatic,11617,Diesel,25000,145
3324, A5,2018,Automatic,11500,Diesel,25500,145
3325, Q3,2019,Manual,4500,Diesel,31750,145
3326, A6,2019,Automatic,3500,Diesel,28000,145
3327, Q7,2019,Automatic,1000,Diesel,57000,145
3328, A6,2019,Automatic,2000,Diesel,31000,145
3329, A1,2019,Manual,10661,Petrol,20000,150
3330, A5,2019,Semi-Auto,100,Diesel,30500,145
3331, Q2,2019,Manual,4563,Diesel,24750,145
3332, A3,2017,Semi-Auto,18778,Diesel,19505,145
3333, Q2,2019,Manual,5727,Diesel,21005,145
3334, Q2,2019,Manual,3233,Petrol,25005,145
3335, Q5,2017,Semi-Auto,33761,Petrol,27505,145
3336, Q2,2019,Semi-Auto,6257,Petrol,30755,145
3337, A5,2017,Manual,40677,Diesel,14505,20
3338, Q7,2018,Automatic,12200,Diesel,40755,145
3339, Q2,2019,Manual,7392,Petrol,27900,145
3340, A5,2019,Automatic,100,Petrol,29500,145
3341, Q5,2019,Automatic,5999,Diesel,34255,145
3342, A5,2019,Automatic,4500,Diesel,31000,145
3343, A5,2019,Automatic,4665,Diesel,29000,145
3344, A6,2018,Automatic,1000,Diesel,30650,145
3345, A5,2018,Manual,1000,Diesel,27500,145
3346, Q2,2019,Manual,7800,Diesel,23750,145
3347, A5,2019,Automatic,100,Petrol,25000,145
3348, Q5,2019,Automatic,1500,Diesel,36500,145
3349, A5,2019,Semi-Auto,1000,Diesel,31000,145
3350, A5,2019,Automatic,2000,Diesel,33500,145
3351, A6,2019,Automatic,6000,Diesel,32000,145
3352, A3,2019,Automatic,100,Diesel,25750,145
3353, A3,2019,Manual,2214,Diesel,24500,145
3354, A3,2019,Automatic,100,Petrol,28750,145
3355, TT,2019,Automatic,6000,Petrol,31000,145
3356, Q5,2016,Semi-Auto,38197,Diesel,20500,200
3357, Q3,2017,Semi-Auto,11906,Petrol,22003,145
3358, A3,2019,Automatic,6109,Petrol,22752,145
3359, A1,2019,Semi-Auto,6934,Petrol,19000,145
3360, R8,2019,Automatic,100,Petrol,125000,145
3361, Q5,2019,Automatic,2000,Diesel,36500,145
3362, A4,2017,Automatic,17920,Diesel,20500,145
3363, A8,2018,Automatic,3000,Diesel,39500,145
3364, A7,2018,Automatic,4000,Diesel,39500,145
3365, A3,2019,Semi-Auto,6750,Petrol,30000,150
3366, A1,2015,Manual,37634,Petrol,10850,0
3367, A4,2014,Semi-Auto,44488,Diesel,12750,150
3368, R8,2019,Automatic,1000,Petrol,135000,145
3369, A5,2018,Manual,7800,Diesel,23000,145
3370, Q8,2019,Automatic,945,Diesel,56000,145
3371, A8,2019,Automatic,5900,Diesel,48000,145
3372, A5,2020,Semi-Auto,384,Diesel,32910,150
3373, Q7,2019,Semi-Auto,5745,Diesel,41718,150
3374, A3,2015,Manual,34468,Diesel,11495,0
3375, A5,2018,Automatic,8000,Diesel,26000,145
3376, A5,2018,Automatic,7500,Petrol,26000,145
3377, Q8,2019,Automatic,5800,Diesel,89750,145
3378, A6,2019,Automatic,4000,Diesel,35000,145
3379, Q3,2020,Semi-Auto,859,Diesel,30990,150
3380, A1,2017,Semi-Auto,26722,Petrol,16989,150
3381, Q3,2019,Semi-Auto,13479,Diesel,26875,145
3382, Q2,2019,Manual,4040,Diesel,20974,145
3383, Q2,2019,Manual,3885,Diesel,21336,145
3384, A4,2019,Semi-Auto,14563,Diesel,30870,145
3385, A7,2019,Semi-Auto,5724,Diesel,30950,145
3386, A8,2018,Automatic,1000,Diesel,39500,145
3387, A6,2018,Automatic,3000,Diesel,27000,145
3388, Q5,2018,Automatic,3000,Diesel,33500,145
3389, A1,2016,Manual,10618,Petrol,12250,0
3390, A1,2016,Semi-Auto,16004,Petrol,13250,30
3391, RS6,2015,Semi-Auto,41733,Petrol,41750,330
3392, Q2,2017,Semi-Auto,15992,Diesel,20490,145
3393, A3,2015,Manual,28527,Diesel,11995,20
3394, A3,2016,Automatic,24523,Diesel,15380,20
3395, A3,2018,Automatic,14267,Diesel,23490,145
3396, A6,2017,Semi-Auto,25129,Diesel,19801,145
3397, Q2,2017,Semi-Auto,18434,Petrol,19701,125
3398, A3,2019,Semi-Auto,5700,Petrol,22001,150
3399, Q3,2016,Manual,25848,Diesel,17801,145
3400, A4,2017,Semi-Auto,25079,Diesel,19401,150
3401, Q3,2019,Semi-Auto,3362,Petrol,37201,145
3402, Q5,2016,Semi-Auto,34893,Diesel,25495,235
3403, A3,2017,Manual,19701,Diesel,16695,20
3404, Q2,2018,Manual,8215,Diesel,19995,145
3405, A3,2017,Manual,24408,Petrol,17495,150
3406, A1,2013,Manual,62331,Petrol,7783,125
3407, A1,2017,Manual,12541,Petrol,11990,145
3408, A1,2016,Manual,20826,Petrol,11491,30
3409, A4,2017,Manual,49000,Diesel,15441,30
3410, A5,2014,Manual,49030,Diesel,10345,30
3411, Q5,2015,Manual,29987,Petrol,18995,260
3412, A3,2013,Manual,30152,Petrol,13170,30
3413, A1,2017,Semi-Auto,31011,Petrol,12802,145
3414, Q3,2016,Manual,40120,Diesel,16800,150
3415, Q5,2016,Semi-Auto,47026,Diesel,19995,200
3416, Q3,2015,Manual,49166,Diesel,13390,125
3417, A5,2017,Semi-Auto,29795,Diesel,21930,145
3418, A3,2018,Manual,10204,Petrol,19647,145
3419, A3,2016,Manual,48887,Diesel,9491,20
3420, TT,2019,Semi-Auto,8000,Petrol,28500,150
3421, A6,2015,Semi-Auto,32288,Diesel,17000,30
3422, A5,2019,Automatic,10,Petrol,28991,145
3423, Q2,2019,Manual,5998,Diesel,21691,145
3424, A6,2019,Automatic,2250,Diesel,32991,145
3425, A6,2019,Automatic,4500,Diesel,32991,145
3426, A6,2016,Semi-Auto,65379,Diesel,16500,30
3427, A5,2016,Semi-Auto,27385,Petrol,21998,260
3428, Q3,2013,Semi-Auto,30256,Diesel,13798,200
3429, A6,2019,Automatic,3000,Diesel,30991,145
3430, A3,2016,Semi-Auto,30270,Petrol,18492,30
3431, A4,2016,Manual,45338,Petrol,12992,145
3432, Q7,2017,Semi-Auto,27148,Diesel,32991,150
3433, TT,2019,Semi-Auto,2847,Petrol,36991,150
3434, Q2,2019,Semi-Auto,3342,Petrol,25491,150
3435, A3,2016,Manual,39154,Petrol,12698,20
3436, A3,2014,Semi-Auto,25256,Diesel,14998,30
3437, Q5,2016,Semi-Auto,52427,Diesel,27498,235
3438, A5,2018,Automatic,18714,Diesel,27992,145
