number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,initial_price,neighborhood,rental_price
1,1,608,poor,63,1457,zaytuna_college,1331.698
3,2,915,great,3,5275,east_elmwood,5275
2,1,719,good,11,3218,north_berkeley,3218
0,1,357,poor,30,1420,zaytuna_college,1391.6
2,1,759,great,2,3791,east_elmwood,3791
1,1,659,poor,37,1764,zaytuna_college,1704.024
2,1,760,good,2,3381,north_berkeley,3381
2,1,875,great,3,3949,east_elmwood,3949
2,1,637,great,8,3698,east_elmwood,3698
3,2,1245,poor,51,4628,zaytuna_college,4341.064
0,1,542,good,3,1951,north_berkeley,1951
3,2,1165,great,10,5370,east_elmwood,5370
2,1,583,great,0,3709,east_elmwood,3709
1,1,659,great,8,2552,east_elmwood,2552
1,1,564,great,2,2586,east_elmwood,2586
1,1,300,poor,27,1557,zaytuna_college,1535.202
2,1,688,great,14,3697,east_elmwood,3697
2,1,935,good,12,3444,north_berkeley,3444
1,1,721,great,10,2589,east_elmwood,2589
3,2,1164,good,5,4924,north_berkeley,4924
0,1,455,good,9,1812,north_berkeley,1812
3,2,935,poor,61,4224,zaytuna_college,3877.632
1,1,584,poor,41,1644,zaytuna_college,1574.952
0,1,501,great,3,2366,east_elmwood,2366
1,1,679,poor,29,1930,zaytuna_college,1895.26
0,1,439,poor,54,1290,zaytuna_college,1202.28
1,1,705,poor,56,1641,zaytuna_college,1522.848
1,1,597,good,8,2061,north_berkeley,2061
3,2,1127,great,12,5402,east_elmwood,5402
0,1,493,good,6,1830,north_berkeley,1830
2,1,619,good,3,3160,north_berkeley,3160
3,2,1102,poor,50,4418,zaytuna_college,4152.92
1,1,554,poor,37,1680,zaytuna_college,1622.88
0,1,359,poor,15,1627,zaytuna_college,1627
3,2,982,great,9,5243,east_elmwood,5243
3,2,1084,poor,18,4793,zaytuna_college,4793
0,1,257,good,13,1518,north_berkeley,1518
3,2,1111,poor,64,4317,zaytuna_college,3937.104
1,1,432,great,8,2320,east_elmwood,2320
3,2,1063,great,10,5292,east_elmwood,5292
0,1,546,great,12,2286,east_elmwood,2286
2,1,752,poor,26,3082,zaytuna_college,3045.016
0,1,478,good,6,1814,north_berkeley,1814
2,1,739,great,3,3775,east_elmwood,3775
1,1,506,good,6,1920,north_berkeley,1920
3,2,1237,good,12,4938,north_berkeley,4938
0,1,427,poor,55,1293,zaytuna_college,1202.49
2,1,773,poor,32,3088,zaytuna_college,3013.888
1,1,386,good,5,1861,north_berkeley,1861
3,2,1232,good,11,5015,north_berkeley,5015
0,1,468,poor,38,1449,zaytuna_college,1396.836
0,1,235,good,3,1597,north_berkeley,1597
0,1,135,good,7,1417,north_berkeley,1417
1,1,537,poor,43,1595,zaytuna_college,1521.63
2,1,663,good,8,3146,north_berkeley,3146
1,1,662,great,9,2538,east_elmwood,2538
3,2,1175,poor,33,4677,zaytuna_college,4555.398
1,1,452,good,0,1962,north_berkeley,1962
3,2,1224,good,6,5040,north_berkeley,5040
2,1,651,great,4,3721,east_elmwood,3721
1,1,304,great,2,2288,east_elmwood,2288
3,2,1211,great,14,5418,east_elmwood,5418
3,2,1123,poor,20,4727,zaytuna_college,4727
1,1,654,poor,49,1630,zaytuna_college,1535.46
1,1,630,good,6,2079,north_berkeley,2079
1,1,631,poor,28,1894,zaytuna_college,1863.696
0,1,435,good,14,1681,north_berkeley,1681
0,1,400,good,1,1747,north_berkeley,1747
3,2,1162,good,14,4824,north_berkeley,4824
2,1,734,poor,37,2958,zaytuna_college,2857.428
0,1,444,good,12,1722,north_berkeley,1722
1,1,470,good,3,1912,north_berkeley,1912
0,1,248,good,3,1594,north_berkeley,1594
2,1,724,great,7,3770,east_elmwood,3770
3,2,1136,good,3,4930,north_berkeley,4930
3,2,891,poor,39,4333,zaytuna_college,4168.346
2,1,629,great,12,3623,east_elmwood,3623
0,1,484,great,6,2346,east_elmwood,2346
0,1,203,good,8,1554,north_berkeley,1554
3,2,1031,great,0,5336,east_elmwood,5336
1,1,306,good,11,1727,north_berkeley,1727
0,1,170,good,11,1455,north_berkeley,1455
2,1,749,great,8,3799,east_elmwood,3799
2,1,781,good,14,3197,north_berkeley,3197
1,1,550,poor,17,1913,zaytuna_college,1913
1,1,435,good,8,1826,north_berkeley,1826
3,2,957,good,4,4751,north_berkeley,4751
1,1,604,good,0,2082,north_berkeley,2082
1,1,548,good,1,2014,north_berkeley,2014
0,1,153,poor,17,1424,zaytuna_college,1424
2,1,635,great,1,3696,east_elmwood,3696
0,1,113,good,4,1461,north_berkeley,1461
0,1,296,great,13,2095,east_elmwood,2095
2,1,743,great,9,3758,east_elmwood,3758
0,1,453,good,11,1735,north_berkeley,1735
0,1,113,poor,31,1182,zaytuna_college,1155.996
1,1,663,poor,37,1771,zaytuna_college,1710.786
1,1,633,good,0,2179,north_berkeley,2179
2,1,835,poor,33,3092,zaytuna_college,3011.608
0,1,349,good,4,1687,north_berkeley,1687
2,1,698,poor,41,2897,zaytuna_college,2775.326
2,1,504,good,2,3098,north_berkeley,3098
0,1,121,poor,54,999,frontage_rd,931.068
1,1,684,good,1,2192,north_berkeley,2192
2,1,901,good,7,3473,north_berkeley,3473
0,1,478,great,1,2414,east_elmwood,2414
2,1,898,poor,41,3082,frontage_rd,2952.556
1,1,482,good,14,1804,north_berkeley,1804
0,1,239,poor,49,1168,frontage_rd,1100.256
1,1,572,great,13,2403,east_elmwood,2403
2,1,815,good,0,3378,north_berkeley,3378
1,1,565,poor,61,1470,frontage_rd,1349.46
3,2,1004,good,11,4706,north_berkeley,4706
0,1,393,poor,49,1289,frontage_rd,1214.238
0,1,117,great,3,1939,east_elmwood,1939
0,1,448,poor,47,1337,frontage_rd,1264.802
0,1,104,poor,20,1322,frontage_rd,1322
1,1,391,good,10,1761,north_berkeley,1761
0,1,542,good,5,1889,north_berkeley,1889
0,1,365,good,9,1716,north_berkeley,1716
0,1,510,poor,19,1730,frontage_rd,1730
1,1,354,good,7,1811,north_berkeley,1811
1,1,634,good,11,1991,north_berkeley,1991
1,1,526,good,5,1933,north_berkeley,1933
0,1,167,good,13,1447,north_berkeley,1447
3,2,1018,poor,37,4453,frontage_rd,4301.598
2,1,783,poor,54,2804,frontage_rd,2613.328
1,1,416,good,3,1862,north_berkeley,1862
3,2,916,poor,56,4246,frontage_rd,3940.288
3,2,1223,good,1,5092,north_berkeley,5092
1,1,359,poor,29,1577,frontage_rd,1548.614
2,1,917,poor,29,3270,frontage_rd,3211.14
1,1,338,great,9,2266,east_elmwood,2266
3,2,926,poor,59,4218,frontage_rd,3888.996
3,2,1116,great,14,5361,east_elmwood,5361
3,2,1160,great,5,5470,east_elmwood,5470
3,2,813,good,11,4568,north_berkeley,4568
3,2,854,great,14,5103,east_elmwood,5103
3,2,1068,great,11,5347,east_elmwood,5347
2,1,758,great,4,3824,east_elmwood,3824
2,1,741,good,11,3184,north_berkeley,3184
2,1,761,poor,31,3055,frontage_rd,2987.79
3,2,811,good,12,4580,north_berkeley,4580
3,2,1005,great,9,5305,east_elmwood,5305
0,1,190,good,6,1550,north_berkeley,1550
3,2,953,poor,48,4293,frontage_rd,4052.592
3,2,1206,good,1,5011,north_berkeley,5011
2,1,637,great,7,3692,east_elmwood,3692
3,2,980,good,4,4791,north_berkeley,4791
1,1,318,good,11,1671,north_berkeley,1671
3,2,1227,poor,32,4784,frontage_rd,4669.184
0,1,398,poor,60,1166,frontage_rd,1072.72
1,1,543,great,8,2431,east_elmwood,2431
3,2,1207,poor,28,4746,frontage_rd,4670.064
0,1,509,great,6,2333,east_elmwood,2333
2,1,685,poor,47,2844,frontage_rd,2690.424
3,2,823,good,6,4589,north_berkeley,4589
2,1,846,poor,48,2929,frontage_rd,2764.976
2,1,846,good,3,3437,north_berkeley,3437
0,1,397,poor,34,1462,frontage_rd,1421.064
0,1,261,poor,55,1126,frontage_rd,1047.18
1,1,733,good,13,2056,north_berkeley,2056
0,1,265,poor,35,1308,frontage_rd,1268.76
1,1,326,great,6,2314,east_elmwood,2314
3,2,1020,great,8,5302,east_elmwood,5302
3,2,1027,poor,44,4451,frontage_rd,4237.352
2,1,551,poor,63,2502,frontage_rd,2286.828
3,2,807,poor,55,4133,frontage_rd,3843.69
3,2,1139,poor,48,4468,frontage_rd,4217.792
1,1,635,good,9,2017,north_berkeley,2017
1,1,520,good,13,1851,north_berkeley,1851
2,1,765,great,14,3693,east_elmwood,3693
0,1,505,good,6,1804,north_berkeley,1804
3,2,837,poor,27,4428,frontage_rd,4366.008
3,2,921,good,5,4744,north_berkeley,4744
2,1,924,great,12,3902,east_elmwood,3902
3,2,976,poor,38,4406,frontage_rd,4247.384
2,1,918,good,0,3524,north_berkeley,3524
0,1,332,good,0,1714,north_berkeley,1714
1,1,463,good,7,1885,north_berkeley,1885
3,2,822,poor,44,4201,frontage_rd,3999.352
1,1,626,poor,55,1588,frontage_rd,1476.84
0,1,424,poor,60,1235,frontage_rd,1136.2
1,1,383,poor,49,1436,frontage_rd,1352.712
1,1,496,good,4,1917,north_berkeley,1917
3,2,1166,poor,52,4524,frontage_rd,4234.464
3,2,1211,good,14,4970,north_berkeley,4970
3,2,896,poor,25,4498,frontage_rd,4453.02
0,1,377,good,8,1698,north_berkeley,1698
1,1,381,good,10,1784,north_berkeley,1784
1,1,429,poor,53,1361,frontage_rd,1271.174
2,1,750,good,9,3217,north_berkeley,3217
1,1,718,poor,45,1806,frontage_rd,1715.7
1,1,527,poor,47,1575,frontage_rd,1489.95
2,1,652,good,4,3196,north_berkeley,3196
3,2,1067,poor,24,4688,frontage_rd,4650.496
3,2,1075,good,13,4841,north_berkeley,4841
3,2,1154,great,1,5459,east_elmwood,5459
1,1,649,great,1,2592,east_elmwood,2592
0,1,195,good,9,1500,north_berkeley,1500
2,1,774,poor,59,2778,frontage_rd,2561.316
2,1,803,great,6,3822,east_elmwood,3822
2,1,529,great,3,3633,east_elmwood,3633
2,1,584,good,12,3042,north_berkeley,3042
0,1,102,good,6,1472,north_berkeley,1472
3,2,899,good,2,4696,north_berkeley,4696
3,2,1237,good,14,4972,north_berkeley,4972
0,1,228,poor,62,986,frontage_rd,903.176
2,1,604,poor,40,2835,frontage_rd,2721.6
0,1,518,poor,35,1607,frontage_rd,1558.79
2,1,571,good,4,3100,north_berkeley,3100
0,1,351,good,11,1657,north_berkeley,1657
0,1,111,poor,29,1203,frontage_rd,1181.346
1,1,345,poor,59,1273,frontage_rd,1173.706
1,1,632,good,3,2082,north_berkeley,2082
2,1,711,good,12,3151,north_berkeley,3151
1,1,466,good,12,1848,north_berkeley,1848
1,1,727,good,0,2190,north_berkeley,2190
1,1,404,poor,63,1235,frontage_rd,1128.79
1,1,374,poor,34,1498,frontage_rd,1456.056
3,2,1108,great,13,5284,east_elmwood,5284
3,2,1236,good,1,5119,north_berkeley,5119
2,1,870,good,4,3433,north_berkeley,3433
0,1,144,good,6,1523,north_berkeley,1523
3,2,1221,good,11,4990,north_berkeley,4990
3,2,985,good,10,4763,north_berkeley,4763
1,1,318,great,7,2288,east_elmwood,2288
2,1,538,good,12,3067,north_berkeley,3067
1,1,487,great,13,2365,east_elmwood,2365
2,1,836,good,13,3303,north_berkeley,3303
3,2,1156,good,3,5025,north_berkeley,5025
1,1,516,great,12,2439,east_elmwood,2439
1,1,580,poor,53,1585,frontage_rd,1480.39
1,1,713,good,9,2124,north_berkeley,2124
2,1,724,good,2,3305,north_berkeley,3305
3,2,1226,good,3,5005,north_berkeley,5005
1,1,674,good,8,2128,north_berkeley,2128
0,1,532,good,1,1932,north_berkeley,1932
3,2,1099,good,12,4789,north_berkeley,4789
3,2,807,good,7,4608,north_berkeley,4608
3,2,959,great,6,5244,east_elmwood,5244
0,1,260,good,5,1591,north_berkeley,1591
0,1,203,poor,38,1250,frontage_rd,1205
3,2,1112,poor,29,4693,frontage_rd,4608.526
2,1,655,good,11,3144,north_berkeley,3144
0,1,355,poor,61,1130,frontage_rd,1037.34
3,2,1146,good,5,4995,north_berkeley,4995
3,2,1098,great,8,5396,east_elmwood,5396
0,1,117,good,5,1465,north_berkeley,1465
0,1,474,great,9,2297,east_elmwood,2297
0,1,463,great,10,2272,east_elmwood,2272
2,1,770,good,9,3277,north_berkeley,3277
1,1,642,great,11,2502,east_elmwood,2502
3,2,1044,poor,26,4599,frontage_rd,4543.812
0,1,425,poor,45,1335,frontage_rd,1268.25
2,1,681,poor,38,2928,frontage_rd,2822.592
2,1,509,good,6,3054,north_berkeley,3054
1,1,568,great,3,2575,east_elmwood,2575
1,1,749,poor,21,1990,frontage_rd,1986.02
2,1,651,great,2,3701,east_elmwood,3701
0,1,448,good,14,1696,north_berkeley,1696
0,1,492,poor,20,1696,frontage_rd,1696
0,1,516,poor,59,1288,frontage_rd,1187.536
1,1,625,good,0,2162,north_berkeley,2162
2,1,874,good,13,3320,north_berkeley,3320
1,1,738,good,2,2253,north_berkeley,2253
0,1,148,good,4,1537,north_berkeley,1537
3,2,819,good,3,4646,north_berkeley,4646
0,1,101,good,5,1483,north_berkeley,1483
0,1,131,poor,22,1308,frontage_rd,1302.768
0,1,158,poor,57,1019,frontage_rd,943.594
1,1,725,poor,44,1744,frontage_rd,1660.288
2,1,616,great,2,3678,east_elmwood,3678
0,1,341,great,7,2195,east_elmwood,2195
1,1,668,good,0,2190,north_berkeley,2190
0,1,491,good,2,1850,north_berkeley,1850
3,2,895,good,12,4638,north_berkeley,4638
2,1,787,good,1,3407,north_berkeley,3407
2,1,873,poor,15,3317,frontage_rd,3317
1,1,525,poor,47,1569,frontage_rd,1484.274
2,1,941,poor,56,2987,frontage_rd,2771.936
1,1,537,good,9,1905,north_berkeley,1905
3,2,1070,great,5,5367,east_elmwood,5367
0,1,440,good,12,1751,north_berkeley,1751
0,1,255,good,13,1513,north_berkeley,1513
0,1,464,poor,45,1424,frontage_rd,1352.8
3,2,974,good,6,4750,north_berkeley,4750
1,1,322,poor,40,1452,frontage_rd,1393.92
1,1,371,poor,47,1416,frontage_rd,1339.536
1,1,487,poor,34,1685,frontage_rd,1637.82
3,2,985,great,14,5221,east_elmwood,5221
0,1,460,good,3,1853,north_berkeley,1853
0,1,384,good,13,1667,north_berkeley,1667
2,1,755,good,12,3205,north_berkeley,3205
2,1,765,good,4,3362,north_berkeley,3362
2,1,580,great,2,3692,east_elmwood,3692
1,1,472,great,3,2479,east_elmwood,2479
0,1,193,poor,33,1277,frontage_rd,1243.798
1,1,312,poor,31,1509,frontage_rd,1475.802
0,1,488,great,8,2304,east_elmwood,2304
0,1,214,poor,33,1268,frontage_rd,1235.032
3,2,939,good,7,4750,north_berkeley,4750
0,1,502,poor,17,1743,frontage_rd,1743
0,1,540,good,10,1835,north_berkeley,1835
0,1,139,good,10,1487,north_berkeley,1487
0,1,447,poor,29,1520,frontage_rd,1492.64
2,1,776,great,4,3828,east_elmwood,3828
1,1,695,great,6,2604,east_elmwood,2604
0,1,449,good,7,1820,north_berkeley,1820
3,2,984,great,6,5312,east_elmwood,5312
0,1,255,good,9,1542,north_berkeley,1542
3,2,811,poor,20,4428,frontage_rd,4428
0,1,371,good,12,1643,north_berkeley,1643
1,1,444,great,5,2399,east_elmwood,2399
1,1,410,good,9,1800,north_berkeley,1800
1,1,315,poor,39,1451,frontage_rd,1395.862
0,1,368,poor,36,1412,frontage_rd,1366.816
1,1,738,poor,51,1769,frontage_rd,1659.322
1,1,372,good,1,1868,north_berkeley,1868
3,2,899,poor,17,4620,frontage_rd,4620
2,1,919,good,1,3538,north_berkeley,3538
3,2,1082,good,7,4878,north_berkeley,4878
3,2,1114,poor,44,4556,frontage_rd,4337.312
0,1,163,poor,37,1155,frontage_rd,1115.73
3,2,1090,poor,59,4367,frontage_rd,4026.374
3,2,989,good,0,4856,north_berkeley,4856
0,1,479,great,12,2275,east_elmwood,2275
2,1,617,good,8,3124,north_berkeley,3124
3,2,959,poor,61,4195,frontage_rd,3851.01
1,1,735,good,12,2154,north_berkeley,2154
3,2,1084,great,14,5272,east_elmwood,5272
1,1,480,good,4,1956,north_berkeley,1956
2,1,813,poor,58,2874,frontage_rd,2655.576
0,1,103,great,1,2023,east_elmwood,2023
2,1,695,great,9,3701,east_elmwood,3701
0,1,186,poor,20,1427,frontage_rd,1427
0,1,270,poor,44,1231,frontage_rd,1171.912
2,1,800,poor,51,2845,frontage_rd,2668.61
2,1,502,great,4,3570,east_elmwood,3570
2,1,680,poor,60,2697,frontage_rd,2481.24
3,2,1071,poor,58,4345,frontage_rd,4014.78
1,1,662,good,10,2060,north_berkeley,2060
0,1,499,good,13,1818,north_berkeley,1818
1,1,308,poor,33,1446,frontage_rd,1408.404
0,1,236,good,13,1507,north_berkeley,1507
2,1,889,good,7,3458,north_berkeley,3458
2,1,884,good,6,3381,north_berkeley,3381
0,1,454,good,11,1699,north_berkeley,1699
3,2,1036,good,4,4820,north_berkeley,4820
2,1,637,good,9,3105,north_berkeley,3105
1,1,339,poor,51,1294,frontage_rd,1213.772
2,1,587,poor,25,2917,frontage_rd,2887.83
0,1,489,poor,36,1529,frontage_rd,1480.072
0,1,440,good,2,1843,north_berkeley,1843
2,1,573,good,2,3143,north_berkeley,3143
1,1,575,good,9,1949,north_berkeley,1949
0,1,207,good,13,1481,north_berkeley,1481
0,1,407,great,0,2320,east_elmwood,2320
0,1,295,poor,43,1228,frontage_rd,1171.512
0,1,434,poor,17,1633,frontage_rd,1633
0,1,184,great,13,1938,east_elmwood,1938
2,1,895,poor,58,2881,frontage_rd,2662.044
0,1,323,great,7,2182,east_elmwood,2182
2,1,747,great,4,3774,east_elmwood,3774
3,2,1166,poor,39,4612,frontage_rd,4436.744
1,1,689,poor,29,1917,frontage_rd,1882.494
2,1,663,great,8,3636,east_elmwood,3636
1,1,412,poor,50,1425,frontage_rd,1339.5
3,2,1131,good,14,4875,north_berkeley,4875
1,1,300,good,9,1736,north_berkeley,1736
2,1,786,good,12,3262,north_berkeley,3262
0,1,402,poor,48,1350,frontage_rd,1274.4
2,1,535,great,2,3639,east_elmwood,3639
1,1,360,good,9,1740,north_berkeley,1740
0,1,276,great,9,2065,east_elmwood,2065
2,1,647,poor,43,2797,frontage_rd,2668.338
1,1,611,good,5,2075,north_berkeley,2075
3,2,956,good,6,4777,north_berkeley,4777
1,1,426,good,14,1788,north_berkeley,1788
0,1,155,great,12,1945,east_elmwood,1945
2,1,643,poor,40,2871,frontage_rd,2756.16
1,1,593,good,10,1944,north_berkeley,1944
3,2,1093,poor,39,4509,frontage_rd,4337.658
1,1,487,good,12,1854,north_berkeley,1854
1,1,349,good,10,1768,north_berkeley,1768
0,1,171,poor,61,983,frontage_rd,902.394
3,2,1024,good,1,4904,north_berkeley,4904
0,1,116,good,10,1374,north_berkeley,1374
2,1,561,poor,49,2708,frontage_rd,2550.936
1,1,741,great,10,2637,east_elmwood,2637
2,1,901,great,5,3952,east_elmwood,3952
1,1,318,poor,57,1230,frontage_rd,1138.98
1,1,688,great,8,2605,east_elmwood,2605
3,2,828,good,7,4584,north_berkeley,4584
2,1,938,great,4,3973,east_elmwood,3973
2,1,669,poor,25,2970,frontage_rd,2940.3
3,2,840,poor,64,4024,frontage_rd,3669.888
2,1,638,poor,50,2712,frontage_rd,2549.28
2,1,759,great,14,3712,east_elmwood,3712
2,1,934,great,0,4058,east_elmwood,4058
3,2,991,great,10,5287,east_elmwood,5287
1,1,411,great,8,2316,east_elmwood,2316
2,1,883,poor,35,3173,frontage_rd,3077.81
3,2,1152,good,3,4986,north_berkeley,4986
0,1,230,good,11,1490,north_berkeley,1490
3,2,934,good,9,4733,north_berkeley,4733
3,2,941,great,5,5274,east_elmwood,5274
3,2,933,great,9,5156,east_elmwood,5156
3,2,839,poor,55,4172,frontage_rd,3879.96
0,1,216,great,1,2092,east_elmwood,2092
3,2,1235,good,3,5088,north_berkeley,5088
0,1,132,good,11,1445,north_berkeley,1445
2,1,832,poor,34,3073,frontage_rd,2986.956
2,1,900,great,13,3881,east_elmwood,3881
3,2,897,good,8,4658,north_berkeley,4658
1,1,698,great,11,2563,east_elmwood,2563
1,1,368,good,1,1865,north_berkeley,1865
2,1,664,good,8,3159,north_berkeley,3159
3,2,1162,good,14,4883,north_berkeley,4883
2,1,743,good,8,3300,north_berkeley,3300
1,1,427,poor,64,1282,frontage_rd,1169.184
1,1,632,good,1,2106,north_berkeley,2106
2,1,698,poor,16,3173,frontage_rd,3173
0,1,275,poor,18,1456,frontage_rd,1456
3,2,1128,good,7,4889,north_berkeley,4889
1,1,352,great,0,2346,east_elmwood,2346
3,2,1174,good,3,4956,north_berkeley,4956
1,1,440,great,5,2420,east_elmwood,2420
1,1,460,good,4,1949,north_berkeley,1949
2,1,870,good,7,3435,north_berkeley,3435
3,2,1240,great,14,5497,east_elmwood,5497
0,1,326,poor,45,1259,frontage_rd,1196.05
0,1,311,good,12,1542,north_berkeley,1542
2,1,656,poor,24,2990,frontage_rd,2966.08
1,1,560,good,14,1899,north_berkeley,1899
0,1,352,poor,59,1211,frontage_rd,1116.542
2,1,714,good,1,3282,north_berkeley,3282
3,2,834,poor,32,4396,frontage_rd,4290.496
0,1,348,good,0,1730,north_berkeley,1730
0,1,388,good,3,1746,north_berkeley,1746
0,1,328,great,13,2126,east_elmwood,2126
2,1,718,good,6,3230,north_berkeley,3230
0,1,435,poor,64,1177,frontage_rd,1073.424
3,2,1182,great,6,5483,east_elmwood,5483
1,1,632,great,11,2503,east_elmwood,2503
3,2,902,great,2,5186,east_elmwood,5186
1,1,612,good,6,2034,north_berkeley,2034
0,1,217,good,11,1516,north_berkeley,1516
0,1,126,good,11,1428,north_berkeley,1428
1,1,586,good,7,2018,north_berkeley,2018
3,2,831,good,1,4659,north_berkeley,4659
1,1,380,good,12,1758,north_berkeley,1758
3,2,1224,good,6,4976,north_berkeley,4976
3,2,1009,poor,60,4283,frontage_rd,3940.36
2,1,872,great,12,3868,east_elmwood,3868
0,1,116,great,9,1964,east_elmwood,1964
3,2,1060,good,8,4862,north_berkeley,4862
1,1,442,poor,62,1292,frontage_rd,1183.472
0,1,442,good,14,1737,north_berkeley,1737
0,1,519,poor,43,1531,frontage_rd,1460.574
0,1,118,good,1,1489,north_berkeley,1489
2,1,674,good,13,3110,north_berkeley,3110
3,2,1182,great,14,5364,east_elmwood,5364
3,2,1056,poor,20,4663,frontage_rd,4663
1,1,357,poor,55,1301,frontage_rd,1209.93
1,1,507,great,7,2401,east_elmwood,2401
2,1,793,good,4,3303,north_berkeley,3303
0,1,254,good,12,1578,north_berkeley,1578
0,1,375,good,4,1767,north_berkeley,1767
3,2,934,poor,15,4637,frontage_rd,4637
2,1,677,poor,15,3123,frontage_rd,3123
2,1,582,good,8,3057,north_berkeley,3057
2,1,918,poor,33,3210,frontage_rd,3126.54
3,2,994,good,7,4801,north_berkeley,4801
0,1,144,poor,50,1045,frontage_rd,982.3
3,2,997,good,11,4749,north_berkeley,4749
0,1,430,great,8,2248,east_elmwood,2248
0,1,443,poor,20,1602,frontage_rd,1602
2,1,785,great,7,3832,east_elmwood,3832
1,1,426,great,9,2344,east_elmwood,2344
1,1,312,good,13,1645,north_berkeley,1645
0,1,116,great,7,1929,east_elmwood,1929
2,1,949,good,0,3513,north_berkeley,3513
1,1,501,great,8,2390,east_elmwood,2390
1,1,564,great,3,2538,east_elmwood,2538
0,1,333,poor,26,1457,frontage_rd,1439.516
3,2,879,great,9,5169,east_elmwood,5169
2,1,817,good,4,3379,north_berkeley,3379
3,2,1123,poor,49,4513,frontage_rd,4251.246
1,1,640,good,0,2184,north_berkeley,2184
1,1,707,good,1,2168,north_berkeley,2168
1,1,347,poor,63,1174,frontage_rd,1073.036
0,1,245,poor,63,1060,frontage_rd,968.84
3,2,1116,good,13,4808,north_berkeley,4808
3,2,1083,great,9,5304,east_elmwood,5304
3,2,911,great,0,5285,east_elmwood,5285
1,1,724,good,12,2097,north_berkeley,2097
1,1,627,good,8,2084,north_berkeley,2084
0,1,259,great,10,2095,east_elmwood,2095
0,1,216,poor,50,1079,frontage_rd,1014.26
0,1,490,good,12,1732,north_berkeley,1732
3,2,931,good,14,4617,north_berkeley,4617
0,1,174,poor,43,1129,frontage_rd,1077.066
3,2,956,great,10,5204,east_elmwood,5204
2,1,937,poor,61,2962,frontage_rd,2719.116
3,2,1220,great,11,5459,east_elmwood,5459
0,1,240,good,12,1514,north_berkeley,1514
3,2,964,great,2,5270,east_elmwood,5270
1,1,589,poor,33,1770,frontage_rd,1723.98
0,1,217,good,14,1447,north_berkeley,1447
2,1,520,great,4,3540,east_elmwood,3540
0,1,220,poor,49,1098,frontage_rd,1034.316
3,2,1176,poor,19,4849,frontage_rd,4849
3,2,1008,good,9,4794,north_berkeley,4794
3,2,1202,good,11,4950,north_berkeley,4950
3,2,1117,poor,57,4387,frontage_rd,4062.362
3,2,1140,good,0,4996,north_berkeley,4996
2,1,734,poor,35,2980,frontage_rd,2890.6
0,1,419,good,6,1758,north_berkeley,1758
3,2,1117,good,13,4796,north_berkeley,4796
1,1,516,great,13,2352,east_elmwood,2352
2,1,555,poor,51,2632,frontage_rd,2468.816
1,1,407,good,12,1797,north_berkeley,1797
0,1,356,good,5,1671,north_berkeley,1671
2,1,860,good,1,3434,north_berkeley,3434
1,1,637,great,5,2582,east_elmwood,2582
3,2,995,poor,39,4491,frontage_rd,4320.342
1,1,623,poor,38,1766,frontage_rd,1702.424
3,2,968,good,9,4699,north_berkeley,4699
3,2,1182,great,8,5404,east_elmwood,5404
0,1,147,poor,47,1084,frontage_rd,1025.464
0,1,534,good,0,1963,north_berkeley,1963
3,2,871,good,11,4648,north_berkeley,4648
1,1,348,great,3,2363,east_elmwood,2363
1,1,427,poor,17,1712,frontage_rd,1712
0,1,140,good,3,1488,north_berkeley,1488
2,1,898,great,10,3922,east_elmwood,3922
0,1,532,poor,36,1523,frontage_rd,1474.264
0,1,432,poor,19,1628,frontage_rd,1628
3,2,1160,great,10,5360,east_elmwood,5360
2,1,775,poor,43,2926,frontage_rd,2791.404
0,1,178,great,14,1898,east_elmwood,1898
1,1,395,good,1,1858,north_berkeley,1858
1,1,304,good,0,1777,north_berkeley,1777
0,1,438,great,12,2258,east_elmwood,2258
3,2,1037,good,5,4849,north_berkeley,4849
0,1,246,good,7,1528,north_berkeley,1528
3,2,948,good,4,4752,north_berkeley,4752
1,1,505,good,10,1907,north_berkeley,1907
1,1,562,good,10,1917,north_berkeley,1917
0,1,248,poor,29,1365,frontage_rd,1340.43
1,1,737,great,12,2573,east_elmwood,2573
3,2,1100,good,2,4926,north_berkeley,4926
3,2,804,good,6,4591,north_berkeley,4591
0,1,104,great,11,1867,east_elmwood,1867
1,1,444,good,14,1801,north_berkeley,1801
0,1,186,poor,30,1324,frontage_rd,1297.52
0,1,383,great,4,2202,east_elmwood,2202
2,1,620,good,8,3107,north_berkeley,3107
3,2,1098,good,14,4856,north_berkeley,4856
1,1,718,poor,39,1778,frontage_rd,1710.436
2,1,866,good,3,3418,north_berkeley,3418
1,1,404,poor,53,1348,frontage_rd,1259.032
3,2,1022,good,8,4829,north_berkeley,4829
1,1,508,good,5,1971,north_berkeley,1971
2,1,854,great,5,3862,east_elmwood,3862
0,1,542,good,13,1791,north_berkeley,1791
3,2,1240,great,10,5503,east_elmwood,5503
0,1,128,good,6,1432,north_berkeley,1432
0,1,365,good,2,1702,north_berkeley,1702
0,1,156,poor,62,887,frontage_rd,812.492
2,1,933,good,4,3449,north_berkeley,3449
0,1,404,poor,61,1163,frontage_rd,1067.634
2,1,822,good,8,3309,north_berkeley,3309
2,1,744,great,13,3692,east_elmwood,3692
1,1,507,good,12,1846,north_berkeley,1846
1,1,505,great,11,2349,east_elmwood,2349
2,1,946,poor,34,3251,frontage_rd,3159.972
0,1,146,good,14,1387,north_berkeley,1387
