unique_id,airline_name,overall_rating,review_title,review_date,verified,review,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended
178,Jetairfly,8,"""professional service and crew""",17th October 2016,False,"Brussels to Punta Cana with Jetairfly on Boeing 787. I was really surprised about this professional service and crew. Very good entertainment, decent food, new plane and friendly service. I was lucky to be on a plane which was not fully booked.",Boeing 787,Solo Leisure,Economy Class,BRU to PUJ,Oct-16,4,5,3,4,5,3,5,yes
179,Luxair,9,Luxair customer review,20th August 2015,False,Luxair operates 5 per week flights between Málaga Costa del Sol and Luxembourg City. Prices on Luxair can be high for this route but the value for money is excellent. We had a true tray with a complete meal on board with Luxembourgish specialities (which were pretty good). Cabin crew speaking in more that 4 languages and even in Spanish (very good point for a Spanish passenger like me). Seats and leg room were excelent and the plane was new and clean.,Boeing 737-800W,Business,Economy Class,Malaga to Luxembourg,Aug-15,5,5,5,5,4,1,5,yes
180,Virgin America,1,"""complete lack of information""",6th January 2017,False,"Flew from San Francisco to Boston. I use to love Virgin but now two flights in a row I have sat on the tarmac while they fixed an issue with the plane. Twice now with well over an hour delay in a row for an airline I use to consider reliable. The worst part was the complete lack of information. The employees ran for whatever hidden cover they could to avoid questions. The captain came on just to give a 15min update of we aren't moving yet and they are working on it because in his words, ""he was required to by law"" as if the law wasn't there he wouldn't care. The lack of communication is dumbfounding for an airline who use to pride themselves on customer service and quality. The least they could",A320,Couple Leisure,Economy Class,SFO to BOS,Jan-17,3,1,1,1,1,1,2,no
181,Thomson Airways,7,"""an acceptable experience""",14th July 2016,False,"Arrived at Gatwick to face a tediously slow 45 minute queue to check-in, before proceeding through the well renovated security clearance in North Terminal. Swift boarding, although flight was delayed an hour whilst sat onboard due to an ATC issue which required a rerouting. Frequent updates provided by a friendly Captain. Once underway food and drinks service prompt and although not generous, tasted good. PTVs are good but the fim/tv selection is very poor (c. ten films). Seat pitch good (33"") and decent recline, although seats are narrow and can be uncomfortable when you've a large person seated beside you, as I did. On the return flight, smooth boarding by bus, timely departure and landed 45 minutes early. Meal service and duty-free took four hours to be completed, which left less than five hours to",Boeing 787-800,Couple Leisure,Economy Class,LGW to PVR,Jul-16,2,4,4,3,2,1,4,no
182,China Southern Airlines,9,"""I am very grateful for this""",14th July 2022,False,"I forgot my passport in my seat after the first leg from Chengdu to Guangzhou Airport due to my own negligence and only realised I had lost it when I arrived at the international counter to check in abroad. The staff were very attentive and patient in calming me down, and they were able to locate my passport and confirm that it was mine in just 20 minutes. As the cabin was about to close, the staff reduced the process to ensure that everything was normal, allowing me to successfully take my flight. I am very grateful for this.",Boeing 787,Solo Leisure,Economy Class,Chengdu to Auckland via Guangzhou,Jul-22,5,4,4,5,4,3,5,yes
183,Blue Panorama Airlines,1,"""forced to buy new tickets""",27th August 2019,True,"Milan Bergamo to Tirana. I was denied boarding and forced to buy new tickets on Blue Panorama flights, as my second name and third names were not on my ticket. This obligation wasn't clear, the airline's rules are ambiguous and Expedia.it for example, doesn't require the second name for a Blue Panorama ticket. The airline doesn't offer online check-in and changes can't be made less than 24 hours in advance. Blue Panorama's rules are profoundly different to that of other airlines and evidently do not conform to the most basic international standards. So far, the airline has refused compensation.",Boeing 737-400,Couple Leisure,Economy Class,Milan Bergamo to Tirana,Aug-19,4,5,1,1,1,1,1,no
184,Thomson Airways,2,"""very little legroom""",9th August 2016,False,"Cancun to Glasgow and would advise anyone to completely avoid Thomson and their ""Dreamliner"" - it's anything but what dreams are made of. Seats are arranged like cattle, offered drinks for first 2 hours of 9 hour flight and that was it. Seat was damp on way out, raised with crew who could ""only apologise"". Entertainment choice was very poor. Would recommend Thomas Cook, or United who I've had much better experience flying with. Best thing about Thomson is their pay £15 to choose your seat deal. They endeavour to sit parties together where possible. Given it's a 3x3x3 set up, it's understandable that parties may be split across the aisle from each other as some people have kids etc. Best thing was, they sit you on complete opposite sides of the aircraft, seat C",Boeing 787,Couple Leisure,Economy Class,CUN to GLA,Aug-16,1,2,1,1,1,1,1,no
185,Saudi Arabian Airlines,1,"""fliers beware - customer service is non-existent""",12th December 2022,True,"I flew Saudia Airlines Jeddah to Washington Dulles in business class. My seat would not operate so I could not adjust the seat. My entertainment system did not work so I could not watch the entertainment. Not what I expected or paid for (over $8,000 USD) during a 14 hour flight. The flight attendant supervisor tried to no avail to fix the problems, causing a disruption in the cabin multiple times. He provided me an email address for Saudia customer relations, which I have emailed a week ago with no response (and multiple follow on emails also with no response). Saudia website has a customer feedback form but the website just spins when you try to submit (I've tried to submit every day for a week to no avail). Saudia has an online chat but",Boeing 777,Business,Business Class,Washington Dulles to Jeddah,Dec-22,1,4,4,4,1,1,1,no
186,Thomson Airways,6,"""staff were very pleasant""",29th August 2016,False,"Gatwick to Pula with Thomson Airways. Flight was on time and all staff were very pleasant. Travelling as a family of 4 (2 adults and 2 children aged 10 and 12). Did not pay to reserve seats. Don't agree with it - nobody should have to except if your paying for extra leg room etc. This business of not being able to sit groups together was never a problem in the past, planes have not changed so why has it suddenly become a problem over recent years? Outward flight we were sat 3 in one row and other person across the aisle. Return flight we were all sat separately (row 20, 25, 29 and 39). Other people were also sat apart and once all on board the flight attendants did a bit of juggling and",Boeing 757,Family Leisure,Economy Class,LGW to PUY,Aug-16,3,3,2,3,1,2,3,yes
187,China Southern Airlines,8,"""excellent cabin service""",1st March 2022,True,"A memorable flight with the A380. It's a pity that the A380 model is about to withdraw from market. They still keep this route during the epidemic, and this is my fifth time fly on this A380 from Guangzhou to Los Angeles in the past few years. The good boarding, excellent cabin service and comfortable seats left me a deep and warm impression.",A380,Solo Leisure,Economy Class,Guangzhou to Los Angeles,Feb-22,5,5,4,5,5,5,4,yes
188,Insel Air,1,"""think twice before you use""",31st December 2015,False,"Insel Air has to be the worst airline. Our bad experience started when we traveled from Miami to Aruba when our flight was delayed 7 hours, when we arrived to Aruba it was 1:00 am and had to pay $70 for a cab because the car rental place was closed. Then on our return flight on December 30th it was again delayed for 2 hours then when we finally took flight the airplane was returned to Aruba due to another malfunction, then we stayed in the airport another 8 hours and lost our connecting flights in Miami, the airline is using old airplanes from the 70's and 80's with visual wear and tear. The attendants at the airport are clueless to say the least, all the said was ""I don't know"". I really regret saving",MD-80,Family Leisure,Economy Class,AUA to MIA,Dec-15,1,1,1,1,1,1,1,no
189,South African Airways,7,"""Service was obliging""",17th March 2020,True,"Accra to Washington Dulles. Given the current situation globally, just glad that I got home. South African Airways is way below current standards for business class. My seat arm rest was broken and wouldn't collapse. This took about 6 inches off my sleeping space. My food was unappealing and limited options. Even though it is a flight with a late departure with only a light meal offered for dinner, I found that I was hungry after that service and there were not even biscuits or any sort of snack available. Service was obliging but seems their company has left crew with limited options to satisfy their premium cabin customers. Flight departed and arrived on time. Pursers announcements were the classiest I have heard in ages and announcements from the cockpit equally charming and informative --",A330,Business,Business Class,Accra to Washington Dulles,Mar-20,2,3,1,3,1,1,3,yes
190,China Southern Airlines,6,"""ridiculous for this intense process""",9th December 2021,True,"My flight supposed departure time is Dec 7th 12:30 at noon. I arrived Guangzhou airport at 10AM. It took me too long time on check-in waiting line before departure. There is no notice board what passenger need to prepare for check in, except a reminder of China Customs Health Declaration Form. After 20-30 mins waiting, I came to check in counter and show every document requested to ground crew of airline (IPA-VISA, vaccination report, Covid-19 test results report, international travel health certificate, and SG airport PCR test reservation). Everything was fine except my COVID-19 test report, that was written by both English and Chinese and provided by formal hospital of Liaoning. However, it was refused as informal certificate. Then I showed my International Travel Health Certificate which was also not recognized as valid document. The",Boeing 787-9,Business,Economy Class,Guangzhou to Singapore,Dec-21,3,4,4,3,5,2,4,yes
191,LATAM Airlines,7,"""on time and seats were comfy""",20th June 2021,True,"Check in online was a breeze, in regards to the carry on bags nobody at the boarding gate complained about the size or weight. Boarding and deplaning was done by rows and did not take long. Due to the pandemic there was no onboard service on either flight. Flights were on time and seats were comfy. On both planes there were ports to charge your phone and the cabins looked pretty new. There was also LATAM play onboard in which you can watch movies on your own device.",A320,Solo Leisure,Economy Class,Bogota to Cali,Jun-21,4,2,1,4,4,1,5,yes
192,Air India Express,4,"""Please avoid this airline""",28th May 2018,True,"Dubai to Pune. Airline ticket cost me Rs 5500 only single wa ($80), a very low price. Checkin was on time at Dubai airport, 30kgs baggage allowed + 7 kgs handbag. Snack box water and tea provided in flight. Flight was 60% empty seats as maybe people dont like travelling with this airline. Departure was delayed by 25 minutes from Dubai airport due to traffic congestion. He apologised several times and covered the delay by 20mins on route. Overall we reached 5 minutes late in Pune from our expected time. A/C was turned off inflight in Dubai on ground for 35mins as we sat in our seat and only hot air was blowing. The A/C was turned on as we went in the sky and cooled in next 30mins. Maybe this was to save fuel",Boeing 737-800,Couple Leisure,Economy Class,Dubai to Pune,May-18,2,3,3,5,1,1,3,no
193,South African Airways,7,"""crew did the minimum possible""",12th March 2020,True,"Washington to Accra in business class. South African Airways uses TK lounge in Dulles which was jam packed with line ups for the washrooms. Boarding smooth with early departure from IAD. I was initially in 2A, but moved to 9K in the second business class cabin when I saw some kids a couple rows behind me. Big mistake because there was a young woman two rows behind me who wanted everyone to know that she was there and travelling in business class. She fussed over everything, talked loudly from her seat to a passenger behind her, flirted shamelessly with the male cabin crew and in the middle of the flight, when everyone else was asleep, talked a full volume in the galley. I had to get and tell the crew to tell her to shut",A330,Business,Business Class,Washington to Accra,Mar-20,4,3,2,4,1,1,4,yes
194,Pegasus Airlines,2,"""Would never recommend it""",22nd February 2022,True,"Would never recommend it. No service no management just catastrophic from Sabiha Goecken Airport Istanbul. Very long queues no one supporting, very rude staff. No one knows where to go, what to do. Worst service ever.",Boeing 737-800,Family Leisure,Economy Class,Stuttgart to Istanbul,Feb-22,2,2,2,1,1,1,2,no
195,Virgin America,10,"""a great flight to remember""",15th March 2016,False,"La Guardia to Dallas Love Field. This was our first time flying on Virgin America. From the time we arrived at the gate until we got off the aircraft was a wonderful experience. The gate staff were very friendly and helpful. The cabin interior was amazing and the lighting gave a nice ambiance. The seats were cozy (even though we could not recline the seats due to being in front of the overwing hatches). Inflight entertainment was great, with plenty of viewing choices. The interior of the aircraft was very clean and well kept. Food choices were excellent and the staff treated us very nicel!! Kudos to all at Virgin America - you made this a great flight to remember!",A319,Family Leisure,Economy Class,LGA to DAL,Mar-16,5,5,5,5,5,5,5,yes
196,South African Airways,3,"""survival austerity campaign""",28th October 2019,True,"Johannesburg to New York. SAA are currently on a survival austerity campaign that is now reflecting in their Business class service and offerings. No longer do they offer pre dinner drink service and the finer parts of their service have been jettisoned. Salt & pepper cellars are packeted; the range of wines are weird - 2 chardonnays in a choice of 3 wines; no after dinner chocolates; breakfast no longer includes cereals, fruits and a main course. You now have to choose one of these 3.  For a Usd 7000 airfare these penny pinching cost savings will not save the airline but will rather ensure its ultimate demise.",A340-600,Couple Leisure,Business Class,Johannesburg to New York,Oct-19,5,4,1,2,1,1,2,no
197,Georgian Airways,1,"""don’t take this airline""",23rd June 2019,False,"Gatwick to Tbilisi. Hilariously poor and incompetent airline. Even though we were the only flight leaving Gatwick past 11pm, somehow they managed to delay the flight by 1 hour due to a busy airport. Which was obviously just an excuse as we saw that the pilots and staff hadn’t made their way onboard until 5 mins after the flight was scheduled to leave. Even though it was a flight from London to Georgia, the staff didn’t speak English beyond conversational. During the delay, we had no communication or offer of anything To keep us warm in the aircraft that had the air con on at midnight. During the flight the staff seemed completely uncaring and incompetent of the people on board. Even though it is cheap, don’t take this airline.",Embraer 190,Couple Leisure,Economy Class,Gatwick to Tbilisi,Jun-19,1,1,1,1,1,1,1,no
198,SATA Air Azores,1,"""no free booze, no TV""",22nd May 2016,False,"Boston to Ponta Delgada with SATA. Just like every other airline tryingg to scrape every last dollar out at any cost. Lights stayed on on the overnight flight, no free booze, no TV, terrible food, very small seats/leg room, flight departure changed times +/- 2 hours several times without notice due to poor logistical planning on their part.",A330,Solo Leisure,Economy Class,BOS to PDL,May-16,1,1,1,1,1,1,1,no
199,Air India,3,"""Absolutely primitive aircraft""",4th May 2023,True,"Absolutely primitive aircraft, None of the on-Board Audio systems work. You've to look at the sky or blank screen to spend time. Crew and their services were good, helpful. However, they can't fix everything on broken Aircrafts. Ticket prices are not any way cheaper than competitors flying to Kolkata. Except the Middle Seats in the Economy sections, one has to pay to get windows or aisle seats. It's not cheap, costs CAD 61.90. The aircraft quality must improve.",Boeing 777-300,Solo Leisure,Economy Class,Toronto to Delhi,May-23,1,4,4,4,1,1,2,no
200,Philippine Airlines,3,"""kept on changing my flight schedule""",20th July 2023,False,"My flight is from July 2-17, 2023. I bought the ticket February 2023 and since then they kept on changing my flight schedule to the point that I have no time to transfer to my connecting flight. July 2 checked in day and the American Airlines (partner) assistant told me that she cannot check me in because of the tight schedule of my connecting flight and she cannot checked in my luggage. I have to call Philippine Airlines customer agent to have it fix and they did, but now instead of arriving early to Cebu it be at a later date. I have to wait 6 hours for my flight to Manila to Cebu. Now that was just the beginning of my nightmare. On my return flight which was scheduled 8:15 am (Cebu to Manila)",Boeing 777,Solo Leisure,Economy Class,Las Vegas to Cebu via Los Angeles,Jul-23,3,3,2,2,2,2,3,no
201,Jetblue Airways,1,"""will never use this airline again""",8th June 2023,True,"I originally booked a 9 am Jet Blue , B6-340 departure Jacksonville Fl that i would arrive in NY well ahead of The drive rush hour to CT some 39 miles away. JB changed my flight to a 12:30 flight that got me to NY at 2:45, middle of the rush hour. 3 hour drive in heavy traffic to CT. RETURN FLIGHT June 7. Flight 2339 Flight delayed 3 1/2 hours as they used our aircraft for a fully booked flight to Tampa, our Jacksonville flight was about 60% populated. The cabin crew or dispatcher or whomever is responsible for catering the aircraft failed to notify the caterer of the new time, gate etc whatever is needed for the caterer to know where to meet the aircraft. Many passengers were aware of the aircraft switch",A320,Business,Economy Class,LaGuardia to Jacksonville,Jun-23,4,4,1,4,1,1,1,no
202,South African Airways,1,"""avoid OR Tambo International Airport""",4th January 2017,False,"South Africa is a wonderful destination if you avoid OR Tambo International Airport, Johannesburg. SAA staff, particularly in the business class lounge, were rude and incompetent. They could not explain the layout of the airport, an important skill one would assume when the airport has no maps and the point of departure for Flight SAA 280 changed back and forth from Gate A15 to A01 to A18, a journey of several hundred metres through and around retail outlets. After several delays we were allowed to board the aircraft only to discover that the baggage handlers had loaded the stowage bins for the forward compartment into the rear of the aircraft and vice versa, not a comfortable mistake when the aircraft is facing a 10 hour flight over the Indian Ocean. The skipper explained to the",A343,Solo Leisure,Business Class,CPT to PER via JNB,Dec-16,2,2,1,1,2,2,1,no
203,Icelandair,4,"""Flight was unsatisfactory in several ways""",8th November 2021,True,"Flight 664 from Portland Oregon was unsatisfactory in several ways. My seat could not recline. The attendant tried it and said it was broken. Same with the foot rest. The food was unpalatable, a few hard, overcooked shrimps, and an entree of a few strips of dry turkey breast on a mountain of greens. Just awful. I asked for the turkey wrap served in coach. Flight 671 from Reykjavik was an improvement. Seat reclined, food was very good. Entertainment on both flights was unsatisfactory. Very limited selection. I tried to contact Icelandair via email sent to a name on their website but it came back as undeliverable. I won’t choose Icelandair again.",Boeing 757-200,Solo Leisure,First Class,Portland to Reykjavik,Sep-21,2,4,2,4,1,2,2,no
204,Jetblue Airways,1,"""don’t know where my bags are""",6th June 2023,False,"The worst Airline. I had a flight which was supposed to be Saturday 3 rd Austin to Boston, Boston to Cibao international airport I got there did all my checking in spend 7 hours in the airport and they cancelled my flight without explanation, all right decided to take a deep breath things happen, so today Monday June 5th they rebooked the flight. Everything when perfect, landed waited 2 hours for my luggage just to find out they weren’t here at Santiago - all right went to claim it, the lady was just like oh I don’t know where your luggage it’s your receipts shows at inactive, why would they give me a receipt if it is inactive? Then she said that she cannot give me info about where is my luggage and that she",JetBlue flight 337,Solo Leisure,Economy Class,Austin-Bergstrom to Cibao,Jun-23,1,1,1,1,1,1,1,no
205,Flair Airlines,1,"""Absolutely Terrible""",26th May 2023,False,"Absolutely Terrible. On my way to Montreal I was not changed a carry on fee, but on the way back at the gate they charged me $85. When I said I wasn't changed on the way there the attendant rudely replied ""Well if you don't pay you're not getting on"". This is after I paid to upgrade. They seated me in-between two toddlers which the flight attendants allowed to run around the aircraft, knock on the pilots cabin door several times, also allowed them to climb all over me even though I asked both the parents and the flight attendants to please stop allowed them to run wild like this. It is an aircraft, not a daycare. I fly several times a year and usually go with United or Air Canada. This time I thought",Boeing 737,Solo Leisure,Economy Class,Montreal to Halifax,May-23,1,1,1,1,1,1,1,no
206,Jetblue Airways,1,"""Will never use JetBlue again""",4th June 2023,True,"Avoid. Flight schedule at 5pm. On the way to the airport was notified flight delay to 11pm. Eventually reduced to 9pm. Enough to arrive late and miss all connections to Europe. Stayed all night at BOS Airport, had to rebook in the morning, had to wait at BOS Airport all day. Will never use JetBlue again. Also, airplane was old and looked pretty bad inside.",A320,Solo Leisure,Economy Class,Jacksonville to Boston,Jun-23,1,3,3,3,1,2,1,no
207,Virgin Australia,1,"""Not a single time it has been on time""",22nd December 2022,False,"Not a single time it has been on time, even international flight get delayed by an 1 hour. Flown recently 3 times with it, but every time same issue. I thought previously that it could be genuine reason and booked next time, but no, there management is worst",Boeing 737-800,Couple Leisure,Economy Class,Canberra to Indonesia via Melbourne,Dec-22,2,3,2,1,1,1,1,no
208,SATA Air Azores,9,"""one choice meal with wine""",21st January 2020,True,"Continues to remain the best value by far. Efficient, friendly check in at YYZ with one small snag. Our no-charge pre-selected seats were changed for load balancing purposes on an A321 that was only about 70% full. YYZ-PDL. We were delayed leaving Toronto 30 minutes because of fog at Ponta Delgadap in the Azores but caught up 15 minutes en route. Plane was newish and clean. No built in entertainment system. Full service, one choice meal with wine was served on a 5.5 hr flight. PDL-FNC. The second leg was on an older Q400 turboprop. On time departure from Ponta Delgada and arrival in Madeira. Polite service with sandwich snack and non alcohol service. When we landed in Madeira, the curious requirement to get from the plane to the terminal using a bus - maybe",A321/Q400,Couple Leisure,Economy Class,Toronto to Funchal via Ponta Delgada,Jan-20,4,4,4,5,3,1,5,no
209,LATAM Airlines,2,"""no respect for their customers""",19th May 2022,True,LATAM is fine as long as there are no issues. Our flight got cancelled due to maintenance issues and that's when the trouble started. LATAM personnel is constantly contradicting itself and providing wrong information. They are badly organised in case of a calamity such as a cancellation which causes long and unnecessary waiting times for their costumers under stressful conditions. The company does not give the compensation that it is legally required to provide. The personnel does not seem to care about their customers. Simply no respect for their customers.,A320,Couple Leisure,Economy Class,Leticia to Bogota,May-22,4,3,1,1,1,1,2,no
210,Mahan Air,9,"""The service and amenities were unbelievable for such a short flight""",19th October 2021,False,"The Tehran lounge was really good, free high-speed WiFi, plenty of comfortable seating and endless snacks and food options which is really impressive considering that Mehrabad is a small, 90 year-old airport mainly used for domestic flights, despite being international. The A310 aircraft was really old but well maintained, seats were very comfortable and featured a whopping 1.5m of legroom. The interior was definitely upgraded from the original aircraft as things like touchscreens were non-existent at the time the aircraft was built. Bathroom was also clean and spacious. A small amenity kit was provided along with some masks and a hand sanitizing gel. A non alcoholic pre-departure drink was served along with warm nuts. The cabin crew were super warm and friendly, a warm breakfast was served which was magnificent. The service and amenities were",A310,Business,Business Class,Tehran (Mehrabad) to Kerman,Oct-21,5,5,5,5,3,1,5,yes
211,Air Greenland,1,"""off-hand attitude among the staff""",21st December 2017,True,"Flew Air Greenland from Copenhagen to Ilulissat via Kangerlussuaq. Way too expensive in relation to the journey length. Long queue on check-in at Copenhagen Airport. Seems to lack any service minded and professional customer service skills. Using terminal 3 for check-in would be preferable than terminal 2. The A330 was old and indeed outdated, a new interior or replacement of the transatlantic aircraft is needed. There is no Wi-Fi onboard, quality of the food was bad, very poor and old in-flight entertainment. 1 movie was shown and a few playlists were on, there were problems with their entertainment system, it to be reset some times before it worked. There is a very off-hand attitude among the staff, not least on board the transatlantic flight. Seriously, they don't seem to care about their customers! Though the","A330-200, Bombardier Dash 8 Q200",Solo Leisure,Economy Class,Copenhagen to Ilulissat via Kangerlussuaq,Jul-17,1,1,1,1,1,1,1,no
212,Virgin Australia,2,"""off-loaded because they are overbooked""",25th November 2022,False,"Flight VA609 Friday 25. November 2022 11:15 When Boarding, at the gate I have been told that I will not fly today, I have been off-loaded because they are overbooked due to another cancelation. No alternative has been offered, I had to find out on my own. To mention I am flying frequently and spend quite a lot of money with Virgin. I claimed to be put back on this plane (thanks to the lovely ladies from ground staff in the lounge), that is where I am now but not sure where my luggage is or will be. Plane is already 35 min late due to unloading and reloading of luggage.",Boeing 737-700,Business,Economy Class,Sydney to Brisbane,Nov-22,3,1,2,5,2,2,1,no
213,SATA Air Azores,1,"""Worst flight I have ever taken""",20th April 2022,False,"The plane was very hot, the flight attendants were rude and confrontational. They wouldn’t serve drinks or dinner because they said to much turbulence but there was hardly any. Finally after about 4 hours they served us a Dixie cup of water. If you got up to go to the bathroom they yelled at you to get back to your seat. Worst flight I have ever taken.",A321,Family Leisure,Economy Class,Boston to Ponta Delgado via Lisbon,Apr-22,1,1,1,1,1,1,2,no
214,Air France,6,"""never encountered such incompetence""",4th August 2022,True,"Shame on Air France for its disgraceful performance and for doing nothing thus far to settle a claim for clothes and incidentals I had to buy after my luggage was delayed last December when returning from Guinea to Washington DC in business class. I must have now called Air France a dozen times to find out the status of my claim. Each time, I get bounced around from one agent to another, each of whom appears completely unable to provide any help whatsoever. One agent today told me that the only way to communicate with AF is via social media and suggested I try Twitter and Facebook. I've already tried both of those months ago and never have had any response. I've now escalated the matter with my firm and with AMEX which did the",Boeing 777-200 / 777-300,Business,Business Class,Washington to Conakry via Paris,Dec-21,4,4,5,1,4,4,2,no
215,Philippine Airlines,5,"""in flight staff really try their best""",3rd July 2023,True,"Considering it is a supposed to be a national full service airline, it really feels behind. Several times during our vacation they would have delays or misrepresent them by having technical landings, only informing us days before our flight with no service or compensation of course. Cabins themselves are quite cold and uncomfortable, again not usually an issue for budget carriers but this is supposed to be a national airline. Two bright spots would be that the in flight staff really try their best and the routes from MNL to the United States are by far the cheapest available.",Boeing 777-300ER,Family Leisure,Economy Class,Manila to Los Angeles,Apr-23,3,5,3,1,4,1,3,no
216,Air France,10,"""Outstanding service""",19th August 2022,True,"Outstanding service. I have travelled from OTP to JFK via CDG and return in business class. A great experience from the lounge, food, beverages to the comfort of the seat. On the return segment JFK -CDG I was upgraded in La Premiere due to my Platinum Ultimate status. The onboard service was state of the art. The champagne the best I have ever tasted. The FAs and the pursers attitude and service flow less. Looking forward to my next trip with AF.",Boeing 777-300,Business,Business Class,Bucharest to New York via Paris,Aug-22,5,5,5,5,3,5,5,yes
217,Air France,10,"""such a wonderful experience""",19th August 2022,False,"I would like to say that the airline and cabin crew were absolutely brilliant. They were very attentive and in hand if we needed them. The inflight food was delicious and tasty, not bland like other airlines. We pre-paid for our seats and we’re very pleased with the extra leg room outbound and the Solo seats coming home. I would like to thank all the staff from check in until when we landed. So professional and quick so the queues were small and manageable. Air France made our holiday more amazing by delivering such a wonderful experience. Thank You.",Boeing 787,Family Leisure,Economy Class,London to Punta Cana via Paris,Aug-22,5,5,5,5,5,5,5,yes
218,SATA Air Azores,6,"""was pleasantly surprised""",2nd September 2022,True,"Wasn’t feeling very confident flying with the airline due to the reviews, but was pleasantly surprised. Crew was professional and courteous. Food on both legs was surprisingly good and there were several options for drinks. Really short transfer at PDL which went by seamlessly. However, the seats are not very comfortable and the wifi connectivity only provides you with access to their IFE portal which has a limited but decent quality selection. Considering this is a relative small airline based in an archipelago in the middle of the ocean, I appreciate the fact that it’s not a no frills experience. Would definitely fly with them again as someone who really wants to visit the Azores.",A321neo,Solo Leisure,Economy Class,New York to Barcelona via Ponta Delgada,Sep-22,2,5,4,4,3,2,4,yes
219,SATA Air Azores,2,"""no digital trace of our luggage""",21st December 2022,True,"Not my first flight, unfortunately not my last either. Flight was scheduled le leave at 20:25. Flight S40322 Dec 16/22. I arrived 3 hours ahead to the check in counter. 1st strike I was pretty much requested to check in my carry on leaving me with my small back pack. I accepted hesitantly as I always pack my small carry on for 3 days. My meds, supplements, some personal hygiene, an extra set of clothes. Cleared security. Got to the gate, 1 hour later we were advised the flight is delayed. Fair enough. A second announcement was for a boarding gate change. From b41, to b40. Another hour, flight is delayed. A 4 announcement another boarding gate change to b38. Was mention it was the requested by the airport . 2.5 hours later boarding begins.",A321,Business,Economy Class,Toronto to Ponta Delgada via Terceira,Dec-22,2,3,3,1,3,3,2,no
220,Air France,9,"""this airline is really improving""",5th September 2022,True,"Excellent flight from Paris to Montréal, I wouldn't have recommended Air France 6 or 7 years ago, but this airline is really improving. The cabin crew was pleasing and careful, the flight landed earlier than announced and the food was pretty good for an economy class. The only negative point is that Paris CDG is really disorganized, it is probably one of the worst airports I've had experienced with Amsterdam AMS in Europe. I really hope that it will improve within the next years.",Boeing 777-300,Solo Leisure,First Class,Montréal to Paris,Sep-22,4,5,5,4,5,5,4,yes
221,Philippine Airlines,6,"""Fare cheap compared to others""",2nd July 2023,False,"Not very impressed and find it hard to understand how this airline has a four star rating. Seats were quite good, but service lacking. Lounge in Manila small and not adequate. On the plus side, flights on time and plane quite new. Fare cheap compared to others.",A321 Neo,Solo Leisure,Business Class,Kuala Lumpur to Port Moresby via Manila,Jul-23,4,2,2,1,2,2,5,no
222,Air France,9,"""a pleasant flight""",8th September 2022,False,"Overall, a pleasant flight. The mini croissant served on the E190 was tasty. As for the food on the A350, it was satisfying enough but was not up to my expectations. Flight attendants were smiling.",A350/E190,Family Leisure,Economy Class,Singapore to Nuremberg via Paris,Sep-22,4,5,4,5,5,2,5,yes
223,Virgin Australia,3,"""still double booking flights""",16th October 2022,False,"Sad to find out that Virgin Australia is still double booking flights, got pushed onto a later one, the lady on the phone changed her story and said it was moved due to maintenance, but I'm at the airport now and of course that flight is still running on time with no issue at all. Feeling pretty inconvenienced at the moment and it made worse when the the lady over the phone to lies to me and can't even admit it. I thought Virgin would be better than Jetstar. At least they already booked me onto the later flight before they sent the email rather than making me deal with it.",Boeing 737- 800,Couple Leisure,Economy Class,Brisbane to Wollongong,Oct-22,3,3,3,1,3,2,3,no
224,Air France,10,"""has been improving recently""",26th September 2022,False,"Air France has been improving recently even if I already enjoyed flying this Airline,. CDG could be a small downside for a few people but I've always loved it, even though everything might take a few more minutes, I have always like it because it's beautiful!",A350,Family Leisure,Economy Class,Atlanta to Paris,Jun-22,5,5,5,5,5,5,5,yes
225,SATA Air Azores,10,"""Very good flight""",22nd June 2023,True,Very good flight. New clean Aircraft. Could chose an exit seat 48hours before departure free of charge. In economy a hot meal is included so it’s flying like 20 years ago. Wwould recommend to fly if going to Azores.,A321N,Couple Leisure,Economy Class,Ponta Delgada to Frankfurt,Jun-23,5,4,5,4,5,4,4,yes
226,Salam Air,1,"""customer service is poor""",13th July 2022,True,"The worst flight I have ever been, the customer service is poor. Cabin crews were rude and they even don't know how to talk to the passengers. The flight is too noisy and not comfortable. They even don't know to speak English.",A321 neo,Family Leisure,Economy Class,Dubai to Trivandrum via Muscat,Jul-22,1,1,1,1,1,1,1,no
227,Virgin Australia,10,"""Plane in a very good condition and clean""",11th October 2022,True,"Plane in a very good condition and clean. Nice and friendly welcome from crew. Flight was on time and safety procedures were done physically. After take-off, inflight service started after 45 minutes from buy Menu, also you could buy Amenity kit. There is Virgin app where you can see flight path and basic games and TV series. Overall very nice flight.",Boeing 737-800,Couple Leisure,Economy Class,Melbourne to Cairns,Sep-22,3,5,4,5,3,1,4,yes
